Date,Time,Cur.,Imp.,Event,Actual,Forecast,Previous
"Wednesday, March 1, 2023",12:00,USD,1,MBA 30-Year Mortgage Rate,6.71%,,6.62%
,12:00,USD,1,MBA Mortgage Applications (WoW),-5.70%,,-13.30%
,12:00,USD,1,MBA Purchase Index,138.8,,147.1
,12:00,USD,1,Mortgage Market Index,188.5,,199.8
,12:00,USD,1,Mortgage Refinance Index,444,,469.9
,13:00,USD,1,Total Vehicle Sales,14.90M,,15.70M
,14:00,USD,2,FOMC Member Kashkari Speaks,,,
,14:45,USD,3,S&P Global US Manufacturing PMI (Feb),47.3,47.8,46.9
,15:00,USD,2,Construction Spending (MoM) (Jan),-0.10%,0.20%,-0.70%
,15:00,USD,1,Distillate Fuel Production,-0.091M,,0.191M
,15:00,USD,2,ISM Manufacturing Employment (Feb),49.1,,50.6
,15:00,USD,1,ISM Manufacturing New Orders Index (Feb),47,,42.5
,15:00,USD,3,ISM Manufacturing PMI (Feb),47.7,48,47.4
,15:00,USD,3,ISM Manufacturing Prices (Feb),51.3,45.1,44.5
,15:30,USD,3,Crude Oil Inventories,1.165M,0.457M,7.648M
,15:30,USD,1,EIA Refinery Crude Runs (WoW),-0.031M,,-0.017M
,15:30,USD,1,Crude Oil Imports,-1.150M,,-1.357M
,15:30,USD,2,Cushing Crude Oil Inventories,0.307M,,0.700M
,15:30,USD,1,Distillate Fuel Production,-0.091M,,0.191M
,15:30,USD,1,EIA Weekly Distillates Stocks,0.179M,-0.462M,2.698M
,15:30,USD,1,Gasoline Production,0.302M,,0.339M
,15:30,USD,1,Heating Oil Stockpiles,0.548M,,0.597M
,15:30,USD,1,EIA Weekly Refinery Utilization Rates (WoW),-0.10%,-0.40%,-0.60%
,15:30,USD,1,Gasoline Inventories,-0.874M,0.464M,-1.856M
,20:30,USD,2,Fed's Balance Sheet,"8,340B",,"8,382B"
"Thursday, March 2, 2023",13:30,USD,2,Continuing Jobless Claims,"1,655K","1,665K","1,660K"
,13:30,USD,3,Initial Jobless Claims,190K,195K,192K
,13:30,USD,1,Jobless Claims 4-Week Avg.,193.00K,,191.25K
