Date,Time,Cur.,Imp.,Event,Actual,Forecast,Previous
"Monday, June 3, 2024",13:45,USD,3,S&P Global US Manufacturing PMI (May),,,
,14:00,USD,2,Construction Spending (MoM) (Apr),,,-0.20%
,14:00,USD,2,ISM Manufacturing Employment (May),,,48.6
,14:00,USD,1,ISM Manufacturing New Orders Index (May),,,49.1
,14:00,USD,3,ISM Manufacturing PMI (May),,,49.2
,14:00,USD,3,ISM Manufacturing Prices (May),,,60.9
"Tuesday, June 4, 2024",14:00,USD,1,Durables Excluding Defense (MoM) (Apr),,,2.30%
,14:00,USD,1,Durables Excluding Transport (MoM) (Apr),,,
,14:00,USD,2,Factory Orders (MoM) (Apr),,,0.80%
,14:00,USD,1,Factory orders ex transportation (MoM) (Apr),,,0.40%
,14:00,USD,3,JOLTs Job Openings (Apr),,,8.488M
"Wednesday, June 5, 2024",12:15,USD,3,ADP Nonfarm Employment Change (May),,,192K
,13:45,USD,2,S&P Global Composite PMI (May),,,
,13:45,USD,3,S&P Global Services PMI (May),,,
,14:00,USD,1,ISM Non-Manufacturing Business Activity (May),,,50.9
,14:00,USD,2,ISM Non-Manufacturing Employment (May),,,45.9
,14:00,USD,1,ISM Non-Manufacturing New Orders (May),,,52.2
,14:00,USD,3,ISM Non-Manufacturing PMI (May),,,49.4
,14:00,USD,3,ISM Non-Manufacturing Prices (May),,,59.2
"Thursday, June 6, 2024",11:30,USD,1,Challenger Job Cuts (May),,,64.789K
,12:30,USD,2,Nonfarm Productivity (QoQ) (Q1),,,0.30%
,12:30,USD,2,Trade Balance (Apr),,,-69.40B
,12:30,USD,2,Unit Labor Costs (QoQ) (Q1),,,4.70%
"Friday, June 7, 2024",12:30,USD,2,Average Hourly Earnings (YoY) (YoY) (May),,,3.90%
,12:30,USD,3,Average Hourly Earnings (MoM) (May),,,0.20%
,12:30,USD,1,Average Weekly Hours (May),,,34.3
,12:30,USD,1,Government Payrolls (May),,,8.0K
,12:30,USD,1,Manufacturing Payrolls (May),,,8K
,12:30,USD,3,Nonfarm Payrolls (May),,,175K
,12:30,USD,2,Participation Rate (May),,,62.70%
,12:30,USD,2,Private Nonfarm Payrolls (May),,,167K
,12:30,USD,2,U6 Unemployment Rate (May),,,7.40%
,12:30,USD,3,Unemployment Rate (May),,,3.90%
,14:00,USD,1,Wholesale Inventories (MoM) (Apr),,,-0.40%
,14:00,USD,1,Wholesale Trade Sales (MoM) (Apr),,,-1.30%
,19:00,USD,2,Consumer Credit (Apr),,,6.27B
"Tuesday, June 11, 2024",11:00,USD,2,OPEC Monthly Report,,,
"Wednesday, June 12, 2024",18:00,USD,3,Fed Interest Rate Decision,,,5.50%
