Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,2.0,20-Year Bond Auction,3.68%,,3.94%,1/18/2023 18:00
USD,2.0,20-Year Bond Auction,3.98%,,3.68%,2/15/2023 18:00
USD,2.0,20-Year Bond Auction,3.91%,,3.98%,3/21/2023 17:00
USD,2.0,20-Year Bond Auction,3.92%,,3.91%,4/19/2023 17:00
USD,2.0,20-Year Bond Auction,3.95%,,3.92%,5/17/2023 17:00
USD,2.0,20-Year Bond Auction,4.01%,,3.95%,6/21/2023 17:00
USD,2.0,20-Year Bond Auction,4.04%,,4.01%,7/19/2023 17:00
USD,2.0,20-Year Bond Auction,4.50%,,4.04%,8/23/2023 17:00
USD,2.0,20-Year Bond Auction,4.59%,,4.50%,9/19/2023 17:00
USD,2.0,20-Year Bond Auction,5.25%,,4.59%,10/18/2023 17:00
USD,2.0,20-Year Bond Auction,4.78%,,5.25%,11/20/2023 18:00
USD,2.0,20-Year Bond Auction,4.21%,,4.78%,12/20/2023 18:00
USD,2.0,20-Year Bond Auction,4.42%,,4.21%,1/17/2024 18:00
USD,2.0,20-Year Bond Auction,4.60%,,4.42%,2/21/2024 18:00
USD,2.0,20-Year Bond Auction,4.54%,,4.60%,3/19/2024 17:00
USD,2.0,20-Year Bond Auction,4.82%,,4.54%,4/17/2024 17:00
