Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,2.0,5-Year Note Auction,3.53%,,3.97%,2023-01-25 18:00:00
USD,2.0,5-Year Note Auction,4.11%,,3.53%,2023-02-22 18:00:00
USD,2.0,5-Year Note Auction,3.67%,,4.11%,2023-03-28 17:00:00
USD,2.0,5-Year Note Auction,3.50%,,3.67%,2023-04-26 17:00:00
USD,2.0,5-Year Note Auction,3.75%,,3.50%,2023-05-24 17:00:00
USD,2.0,5-Year Note Auction,4.02%,,3.75%,2023-06-27 17:00:00
USD,2.0,5-Year Note Auction,4.17%,,4.02%,2023-07-25 17:00:00
USD,2.0,5-Year Note Auction,4.40%,,4.17%,2023-08-28 17:00:00
USD,2.0,5-Year Note Auction,4.66%,,4.40%,2023-09-27 17:00:00
USD,2.0,5-Year Note Auction,4.90%,,4.66%,2023-10-25 17:00:00
USD,2.0,5-Year Note Auction,4.42%,,4.90%,2023-11-27 18:00:00
USD,2.0,5-Year Note Auction,3.80%,,4.42%,2023-12-27 18:00:00
USD,2.0,5-Year Note Auction,4.06%,,3.80%,2024-01-24 18:00:00
USD,2.0,5-Year Note Auction,4.32%,,4.06%,2024-02-26 18:00:00
USD,2.0,5-Year Note Auction,4.24%,,4.32%,2024-03-26 17:00:00
USD,2.0,5-Year Note Auction,4.66%,,4.24%,2024-04-24 17:00:00
