Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,1.0,6-Month Bill Auction,4.64%,,4.60%,2023-01-03 16:30:00
USD,1.0,6-Month Bill Auction,4.71%,,4.64%,2023-01-09 16:30:00
USD,1.0,6-Month Bill Auction,4.69%,,4.71%,2023-01-17 16:30:00
USD,1.0,6-Month Bill Auction,4.69%,,4.69%,2023-01-23 16:30:00
USD,1.0,6-Month Bill Auction,4.68%,,4.69%,2023-01-30 16:30:00
USD,1.0,6-Month Bill Auction,4.76%,,4.68%,2023-02-06 16:30:00
USD,1.0,6-Month Bill Auction,4.84%,,4.76%,2023-02-13 16:30:00
USD,1.0,6-Month Bill Auction,4.92%,,4.84%,2023-02-21 16:30:00
USD,1.0,6-Month Bill Auction,4.94%,,4.92%,2023-02-27 16:30:00
USD,1.0,6-Month Bill Auction,4.97%,,4.94%,2023-03-06 16:30:00
USD,1.0,6-Month Bill Auction,4.70%,,4.97%,2023-03-13 15:30:00
USD,1.0,6-Month Bill Auction,4.62%,,4.70%,2023-03-20 15:30:00
USD,1.0,6-Month Bill Auction,4.65%,,4.62%,2023-03-27 15:30:00
USD,1.0,6-Month Bill Auction,4.71%,,4.65%,2023-04-03 15:30:00
USD,1.0,6-Month Bill Auction,4.80%,,4.71%,2023-04-10 15:30:00
USD,1.0,6-Month Bill Auction,4.87%,,4.80%,2023-04-17 15:30:00
USD,1.0,6-Month Bill Auction,4.84%,,4.87%,2023-04-24 15:30:00
USD,1.0,6-Month Bill Auction,4.90%,,4.84%,2023-05-01 15:30:00
USD,1.0,6-Month Bill Auction,4.89%,,4.90%,2023-05-08 15:30:00
USD,1.0,6-Month Bill Auction,4.98%,,4.89%,2023-05-15 15:30:00
USD,1.0,6-Month Bill Auction,5.17%,,4.98%,2023-05-22 15:30:00
USD,1.0,6-Month Bill Auction,5.29%,,5.17%,2023-05-30 15:30:00
USD,1.0,6-Month Bill Auction,5.25%,,5.29%,2023-06-05 15:30:00
USD,1.0,6-Month Bill Auction,5.16%,,5.25%,2023-06-12 15:30:00
USD,1.0,6-Month Bill Auction,5.17%,,5.16%,2023-06-20 15:30:00
USD,1.0,6-Month Bill Auction,5.22%,,5.17%,2023-06-26 15:30:00
USD,1.0,6-Month Bill Auction,5.26%,,5.22%,2023-07-03 15:30:00
USD,1.0,6-Month Bill Auction,5.27%,,5.26%,2023-07-10 15:30:00
USD,1.0,6-Month Bill Auction,5.25%,,5.27%,2023-07-17 15:30:00
USD,1.0,6-Month Bill Auction,5.27%,,5.25%,2023-07-24 15:30:00
USD,1.0,6-Month Bill Auction,5.27%,,5.27%,2023-07-31 15:30:00
USD,1.0,6-Month Bill Auction,5.27%,,5.27%,2023-08-07 15:30:00
USD,1.0,6-Month Bill Auction,5.29%,,5.27%,2023-08-14 15:30:00
USD,1.0,6-Month Bill Auction,5.30%,,5.29%,2023-08-21 15:30:00
USD,1.0,6-Month Bill Auction,5.35%,,5.30%,2023-08-28 15:30:00
USD,1.0,6-Month Bill Auction,5.30%,,5.35%,2023-09-05 15:30:00
USD,1.0,6-Month Bill Auction,5.30%,,5.30%,2023-09-11 15:30:00
USD,1.0,6-Month Bill Auction,5.30%,,5.30%,2023-09-18 15:30:00
USD,1.0,6-Month Bill Auction,5.32%,,5.30%,2023-09-25 15:30:00
USD,1.0,6-Month Bill Auction,5.34%,,5.32%,2023-10-02 15:30:00
USD,1.0,6-Month Bill Auction,5.32%,,5.34%,2023-10-10 15:30:00
USD,1.0,6-Month Bill Auction,5.34%,,5.32%,2023-10-16 15:30:00
USD,1.0,6-Month Bill Auction,5.32%,,5.33%,2023-10-30 15:30:00
USD,1.0,6-Month Bill Auction,5.26%,,5.32%,2023-11-06 16:30:00
USD,1.0,6-Month Bill Auction,5.27%,,5.26%,2023-11-13 16:30:00
USD,1.0,6-Month Bill Auction,5.23%,,5.27%,2023-11-20 16:30:00
