Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,,API Weekly Crude Oil Stock,3.298M,,-1.300M,1/4/2023 21:30
USD,2.0,API Weekly Crude Oil Stock,14.865M,-2.375M,3.298,1/10/2023 21:30
USD,2.0,API Weekly Crude Oil Stock,7.615M,-1.750M,14.865M,1/18/2023 21:30
USD,2.0,API Weekly Crude Oil Stock,3.378M,1.600M,7.615M,1/24/2023 21:30
USD,2.0,API Weekly Crude Oil Stock,6.330M,-1.000M,3.378M,1/31/2023 21:30
USD,2.0,API Weekly Crude Oil Stock,-2.184M,2.150M,6.330M,2/7/2023 21:30
USD,2.0,API Weekly Crude Oil Stock,10.507M,0.321M,-2.184M,2/14/2023 21:30
USD,2.0,API Weekly Crude Oil Stock,9.895M,1.233M,10.507M,2/22/2023 21:30
USD,2.0,API Weekly Crude Oil Stock,6.203M,0.440M,9.895M,2/28/2023 21:30
USD,2.0,API Weekly Crude Oil Stock,-3.835M,-0.308M,6.203M,3/7/2023 21:30
USD,2.0,API Weekly Crude Oil Stock,1.155M,0.555M,-3.835M,3/14/2023 20:30
USD,2.0,API Weekly Crude Oil Stock,3.262M,-1.448M,1.155M,3/21/2023 20:30
USD,2.0,API Weekly Crude Oil Stock,-6.076M,0.187M,3.262M,3/28/2023 20:30
USD,2.0,API Weekly Crude Oil Stock,-4.346M,-1.800M,-6.076M,4/4/2023 20:30
USD,2.0,API Weekly Crude Oil Stock,0.377M,-1.300M,-4.346M,4/11/2023 20:30
USD,2.0,API Weekly Crude Oil Stock,-2.675M,-2.464M,0.377M,4/18/2023 20:30
USD,2.0,API Weekly Crude Oil Stock,-6.083M,-1.667M,-2.675M,4/25/2023 20:30
USD,2.0,API Weekly Crude Oil Stock,-3.939M,-1.000M,-6.083M,5/2/2023 20:30
USD,2.0,API Weekly Crude Oil Stock,3.618M,-1.600M,-3.939M,5/8/2023 20:30
USD,2.0,API Weekly Crude Oil Stock,3.690M,-1.300M,3.618M,5/16/2023 20:30
USD,2.0,API Weekly Crude Oil Stock,-6.799M,0.525M,3.690M,5/23/2023 20:30
USD,2.0,API Weekly Crude Oil Stock,5.202M,-1.220M,-6.799M,5/31/2023 20:30
USD,2.0,API Weekly Crude Oil Stock,-1.710M,1.500M,5.202M,6/6/2023 20:30
USD,2.0,API Weekly Crude Oil Stock,1.024M,-1.291M,-1.710M,6/13/2023 20:30
USD,2.0,API Weekly Crude Oil Stock,-1.246M,-0.433M,1.024M,6/21/2023 20:30
USD,2.0,API Weekly Crude Oil Stock,-2.408M,-1.467M,-1.246M,6/27/2023 20:30
USD,2.0,API Weekly Crude Oil Stock,-4.382M,-1.800M,-2.408M,7/5/2023 20:30
USD,2.0,API Weekly Crude Oil Stock,3.026M,0.200M,-4.382M,7/11/2023 20:30
USD,2.0,API Weekly Crude Oil Stock,-0.797M,-2.250M,3.026M,7/18/2023 20:30
USD,2.0,API Weekly Crude Oil Stock,1.319M,-1.969M,-0.797M,7/25/2023 20:30
USD,2.0,API Weekly Crude Oil Stock,-15.400M,-0.900M,1.319M,8/1/2023 20:30
USD,2.0,API Weekly Crude Oil Stock,4.067M,-0.233M,-15.400M,8/8/2023 20:30
USD,2.0,API Weekly Crude Oil Stock,-6.195M,-2.050M,4.067M,8/15/2023 20:30
USD,2.0,API Weekly Crude Oil Stock,-2.418M,-2.900M,-6.195M,8/22/2023 20:30
USD,2.0,API Weekly Crude Oil Stock,-11.486M,-2.900M,-2.418M,8/29/2023 20:30
USD,2.0,API Weekly Crude Oil Stock,-5.521M,-1.429M,-11.486M,9/6/2023 20:30
USD,2.0,API Weekly Crude Oil Stock,1.174M,-2.000M,-5.521M,9/12/2023 20:30
USD,2.0,API Weekly Crude Oil Stock,-5.250M,-2.667M,1.174M,9/19/2023 20:30
USD,2.0,API Weekly Crude Oil Stock,1.586M,-1.650M,-5.250M,9/26/2023 20:30
USD,2.0,API Weekly Crude Oil Stock,-4.210M,-0.092M,1.586M,10/3/2023 20:30
USD,2.0,API Weekly Crude Oil Stock,12.940M,1.300M,-4.210M,10/11/2023 20:30
USD,2.0,API Weekly Crude Oil Stock,-4.383M,-1.267M,12.940M,10/17/2023 20:30
USD,2.0,API Weekly Crude Oil Stock,-2.668M,1.550M,-4.383M,10/24/2023 20:30
USD,2.0,API Weekly Crude Oil Stock,1.347M,1.601M,-2.668M,10/31/2023 20:30
USD,2.0,API Weekly Crude Oil Stock,11.900M,-0.300M,1.347M,11/7/2023 22:00
USD,2.0,API Weekly Crude Oil Stock,1.335M,1.400M,11.900M,11/14/2023 21:30
USD,2.0,API Weekly Crude Oil Stock,9.047M,1.467M,1.335M,11/21/2023 21:30
USD,2.0,API Weekly Crude Oil Stock,-0.817M,-2.000M,9.047M,11/28/2023 21:30
USD,2.0,API Weekly Crude Oil Stock,0.594M,-2.267M,-0.817M,12/5/2023 21:30
USD,2.0,API Weekly Crude Oil Stock,-2.349M,-1.500M,0.594M,12/12/2023 21:30
USD,2.0,API Weekly Crude Oil Stock,0.939M,-2.233M,-2.349M,12/19/2023 21:30
USD,2.0,API Weekly Crude Oil Stock,1.837M,,0.939M,12/27/2023 21:30
USD,2.0,API Weekly Crude Oil Stock,-7.418M,-2.967M,1.837M,1/3/2024 21:30
USD,2.0,API Weekly Crude Oil Stock,-5.215M,-1.200M,-7.418M,1/9/2024 21:30
USD,2.0,API Weekly Crude Oil Stock,0.483M,-2.400M,-5.215M,1/17/2024 21:30
USD,2.0,API Weekly Crude Oil Stock,-6.674M,-3.000M,0.483M,1/23/2024 21:30
USD,2.0,API Weekly Crude Oil Stock,-2.500M,-0.867M,-6.674M,1/30/2024 21:30
USD,2.0,API Weekly Crude Oil Stock,0.674M,2.133M,-2.500M,2/6/2024 21:30
