Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,,All Car Sales (Dec),2.78M,,3.16M,1/5/2023 14:30
USD,1.0,All Car Sales (Jan),3.12M,,2.81M,2/2/2023 12:30
USD,1.0,All Car Sales (Feb),2.95M,,3.20M,3/2/2023 15:00
USD,1.0,All Car Sales (Mar),2.99M,,3.00M,4/4/2023 14:00
USD,1.0,All Car Sales (Apr),3.28M,,2.96M,5/3/2023 12:20
USD,1.0,All Car Sales (May),3.11M,,3.28M,6/2/2023 12:10
USD,1.0,All Car Sales (Jun),3.10M,,3.05M,7/6/2023 14:00
USD,1.0,All Car Sales (Jul),3.14M,,3.08M,8/2/2023 12:00
USD,1.0,All Car Sales (Aug),3.05M,,3.14M,9/5/2023 12:15
USD,1.0,All Car Sales (Sep),3.21M,,3.12M,10/4/2023 14:00
USD,1.0,All Car Sales (Oct),3.10M,,3.22M,11/2/2023 13:00
USD,1.0,All Car Sales (Dec),3.07M,,3.00M,1/4/2024 12:30
USD,1.0,All Car Sales (Jan),3.01M,,3.19M,2/2/2024 15:00
USD,1.0,All Car Sales (Feb),3.13M,,2.99M,3/4/2024 13:00
USD,1.0,All Car Sales (Mar),3.03M,,3.10M,4/3/2024 12:40
