Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,,All Truck Sales (Dec),10.53M,,11.06M,1/5/2023 14:30
USD,1.0,All Truck Sales (Jan),12.62M,,10.56M,2/2/2023 12:30
USD,1.0,All Truck Sales (Feb),11.93M,,12.67M,3/2/2023 15:00
USD,1.0,All Truck Sales (Mar),11.83M,,12.00M,4/4/2023 14:00
USD,1.0,All Truck Sales (Apr),12.63M,,11.88M,5/3/2023 12:20
USD,1.0,All Truck Sales (May),11.93M,,12.81M,6/2/2023 12:10
USD,1.0,All Truck Sales (Jun),12.58M,,12.02M,7/6/2023 14:00
USD,1.0,All Truck Sales (Jul),12.59M,,12.58M,8/2/2023 12:00
USD,1.0,All Truck Sales (Aug),11.99M,,12.60M,9/5/2023 12:15
USD,1.0,All Truck Sales (Sep),12.46M,,12.22M,10/4/2023 14:00
USD,1.0,All Truck Sales (Oct),12.40M,,12.46M,11/2/2023 13:00
USD,1.0,All Truck Sales (Dec),12.76M,,12.34M,1/4/2024 12:30
USD,1.0,All Truck Sales (Jan),11.99M,,12.92M,2/2/2024 15:00
USD,1.0,All Truck Sales (Feb),12.68M,,11.93M,3/4/2024 13:00
USD,1.0,All Truck Sales (Mar),12.46M,,12.60M,4/3/2024 12:40
