Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,1.0,Building Permits (MoM) (Dec),-1.60%,,-10.60%,1/19/2023 13:30
USD,1.0,Building Permits (MoM) (Dec),-1.00%,,-10.60%,1/26/2023 13:00
USD,1.0,Building Permits (MoM) (Jan),0.10%,,-1.00%,2/16/2023 13:30
USD,1.0,Building Permits (MoM) (Jan),0.10%,,-1.00%,2/24/2023 12:30
USD,1.0,Building Permits (MoM) (Feb),13.80%,,0.10%,3/16/2023 12:30
USD,1.0,Building Permits (MoM) (Feb),15.10%,13.80%,0.10%,3/23/2023 12:30
USD,1.0,Building Permits (MoM) (Mar),-8.80%,-6.00%,15.80%,4/18/2023 12:30
USD,1.0,Building Permits (MoM) (Mar),-7.70%,-8.80%,15.80%,4/25/2023 12:10
USD,1.0,Building Permits (MoM) (Apr),-1.50%,,-3.00%,5/17/2023 12:30
USD,1.0,Building Permits (MoM) (Apr),-1.40%,-1.50%,-7.70%,5/23/2023 12:00
USD,1.0,Building Permits (MoM) (May),5.20%,,-1.40%,6/20/2023 12:30
USD,1.0,Building Permits (MoM) (May),5.60%,5.20%,-1.40%,6/27/2023 11:45
USD,1.0,Building Permits (MoM) (Jun),-3.70%,,5.60%,7/19/2023 12:30
USD,1.0,Building Permits (MoM) (Jun),-3.70%,-3.70%,5.60%,7/26/2023 12:00
USD,1.0,Building Permits (MoM) (Jul),0.10%,-1.70%,-3.70%,8/16/2023 12:30
USD,1.0,Building Permits (MoM) (Jul),0.10%,0.10%,-3.70%,8/23/2023 12:00
USD,1.0,Building Permits (MoM) (Aug),6.90%,,0.10%,9/19/2023 12:30
USD,1.0,Building Permits (MoM) (Aug),6.80%,6.90%,0.10%,9/26/2023 12:00
USD,1.0,Building Permits (MoM) (Sep),-4.40%,,6.80%,10/18/2023 12:30
USD,1.0,Building Permits (MoM) (Sep),-4.50%,-4.40%,6.80%,10/25/2023 11:40
USD,1.0,Building Permits (MoM) (Oct),1.10%,,-4.50%,11/17/2023 13:30
USD,1.0,Building Permits (MoM) (Oct),1.80%,1.10%,-4.50%,11/27/2023 12:50
USD,1.0,Building Permits (MoM) (Nov),-2.50%,,1.80%,12/19/2023 13:30
USD,1.0,Building Permits (MoM) (Nov),-2.10%,-2.50%,1.80%,12/22/2023 12:30
USD,1.0,Building Permits (MoM) (Dec),1.90%,,-2.10%,1/18/2024 13:30
USD,1.0,Building Permits (MoM) (Dec),1.80%,,-2.10%,1/25/2024 12:40
USD,1.0,Building Permits (MoM) (Jan),-1.50%,1.30%,1.80%,2/16/2024 13:30
USD,1.0,Building Permits (MoM),-0.30%,-1.50%,1.80%,2/26/2024 13:30
USD,1.0,Building Permits (MoM) (Feb),1.90%,,-0.30%,3/19/2024 12:30
USD,1.0,Building Permits (MoM),2.40%,1.90%,-0.30%,3/25/2024 11:20
USD,1.0,Building Permits (MoM) (Mar),-4.30%,-0.90%,2.30%,4/16/2024 12:30
USD,1.0,Building Permits (MoM),-3.70%,-4.30%,2.40%,4/23/2024 11:30
