Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,1.0,CB Employment Trends Index (Dec),116.31,,117.14,1/9/2023 15:00
USD,1.0,CB Employment Trends Index (Jan),118.74,,117.06,2/6/2023 15:00
USD,1.0,CB Employment Trends Index (Feb),118.29,,118.14,3/13/2023 14:00
USD,1.0,CB Employment Trends Index (Mar),116.24,118.64,116.75,4/10/2023 14:00
USD,1.0,CB Employment Trends Index (Apr),116.18,117.37,115.51,5/8/2023 14:00
USD,1.0,CB Employment Trends Index (May),116.15,116.31,116.79,6/5/2023 14:00
USD,1.0,CB Employment Trends Index (Jun),114.31,116.26,115.53,7/10/2023 14:00
USD,1.0,CB Employment Trends Index (Jul),115.45,115.31,113.56,8/7/2023 14:00
USD,1.0,CB Employment Trends Index (Aug),113.02,,114.71,9/5/2023 14:00
USD,1.0,CB Employment Trends Index (Sep),114.66,,114.16,10/9/2023 14:00
USD,1.0,CB Employment Trends Index (Oct),114.16,,114.63,11/6/2023 15:00
USD,1.0,CB Employment Trends Index (Nov),113.05,,113.09,12/11/2023 15:00
USD,1.0,CB Employment Trends Index (Dec),113.15,,112.48,1/8/2024 15:00
USD,1.0,CB Employment Trends Index (Jan),113.71,,112.91,2/5/2024 15:00
USD,1.0,CB Employment Trends Index (Feb),112.29,,113.18,3/11/2024 14:00
USD,1.0,CB Employment Trends Index (Mar),112.84,,111.85,4/8/2024 14:00
