Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,1.0,CFTC Copper speculative net positions,-4.7K,,0.7K,1/6/2023 20:30
USD,1.0,CFTC Copper speculative net positions,10.2K,,-4.7K,1/13/2023 20:30
USD,1.0,CFTC Copper speculative net positions,16.2K,,10.2K,1/20/2023 20:30
USD,1.0,CFTC Copper speculative net positions,20.2K,,16.2K,1/27/2023 20:30
USD,1.0,CFTC Copper speculative net positions,17.2K,,20.2K,2/24/2023 20:30
USD,1.0,CFTC Copper speculative net positions,2.5K,,17.2K,3/3/2023 20:30
USD,1.0,CFTC Copper speculative net positions,2.0K,,2.5K,3/10/2023 20:30
USD,1.0,CFTC Copper speculative net positions,-7.7K,,2.0K,3/17/2023 20:30
USD,1.0,CFTC Copper speculative net positions,-12.4K,,-7.7K,3/24/2023 20:30
USD,1.0,CFTC Copper speculative net positions,-1.5K,,-12.4K,3/31/2023 20:30
USD,1.0,CFTC Copper speculative net positions,-3.0K,,-1.5K,4/7/2023 20:30
USD,1.0,CFTC Copper speculative net positions,-4.3K,,-3.0K,4/14/2023 20:30
USD,1.0,CFTC Copper speculative net positions,8.9K,,-4.3K,4/21/2023 20:30
USD,1.0,CFTC Copper speculative net positions,-17.0K,,8.9K,4/28/2023 20:30
USD,1.0,CFTC Copper speculative net positions,-21.7K,,-17.0K,5/4/2023 20:30
USD,1.0,CFTC Copper speculative net positions,-24.9K,,-21.7K,5/12/2023 20:30
USD,1.0,CFTC Copper speculative net positions,-32.6K,,-24.9K,5/19/2023 20:30
USD,1.0,CFTC Copper speculative net positions,-29.8K,,-32.6K,5/26/2023 20:30
USD,1.0,CFTC Copper speculative net positions,-35.7K,,-29.8K,6/2/2023 20:30
USD,1.0,CFTC Copper speculative net positions,-26.0K,,-35.7K,6/9/2023 20:30
USD,1.0,CFTC Copper speculative net positions,-12.9K,,-26.0K,6/16/2023 20:30
USD,1.0,CFTC Copper speculative net positions,1.9K,,-12.9K,6/23/2023 20:30
USD,1.0,CFTC Copper speculative net positions,2.9K,,1.9K,6/30/2023 20:30
USD,1.0,CFTC Copper speculative net positions,-8.8K,,2.9K,7/7/2023 20:30
USD,1.0,CFTC Copper speculative net positions,-11.2K,,-8.8K,7/14/2023 20:30
USD,1.0,CFTC Copper speculative net positions,-3.5K,,-11.2K,7/21/2023 20:30
USD,1.0,CFTC Copper speculative net positions,1.2K,,-3.5K,7/28/2023 20:30
USD,1.0,CFTC Copper speculative net positions,10.7K,,1.2K,8/4/2023 20:30
USD,1.0,CFTC Copper speculative net positions,-10.1K,,10.7K,8/11/2023 20:30
USD,1.0,CFTC Copper speculative net positions,-25.7K,,-10.1K,8/18/2023 20:30
USD,1.0,CFTC Copper speculative net positions,-24.6K,,-25.7K,8/25/2023 20:30
USD,1.0,CFTC Copper speculative net positions,-16.6K,,-24.6K,9/1/2023 20:30
USD,1.0,CFTC Copper speculative net positions,-6.8K,,-16.6K,9/8/2023 20:30
USD,1.0,CFTC Copper speculative net positions,-12.3K,,-6.8K,9/15/2023 20:30
