Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,1.0,CFTC Corn speculative net positions,267.5K,,235.1K,2023-01-06 20:30:00
USD,1.0,CFTC Corn speculative net positions,233.8K,,267.5K,2023-01-13 20:30:00
USD,1.0,CFTC Corn speculative net positions,271.9K,,233.8K,2023-01-20 20:30:00
USD,1.0,CFTC Corn speculative net positions,277.4K,,271.9K,2023-01-27 20:30:00
USD,1.0,CFTC Corn speculative net positions,296.8K,,277.4K,2023-02-24 20:30:00
USD,1.0,CFTC Corn speculative net positions,282.4K,,296.8K,2023-03-03 20:30:00
USD,1.0,CFTC Corn speculative net positions,283.0K,,282.4K,2023-03-10 20:30:00
USD,1.0,CFTC Corn speculative net positions,103.3K,,283.0K,2023-03-17 20:30:00
USD,1.0,CFTC Corn speculative net positions,59.5K,,103.3K,2023-03-24 20:30:00
USD,1.0,CFTC Corn speculative net positions,71.5K,,59.5K,2023-03-31 20:30:00
USD,1.0,CFTC Corn speculative net positions,85.7K,,71.5K,2023-04-07 20:30:00
USD,1.0,CFTC Corn speculative net positions,103.3K,,85.7K,2023-04-14 20:30:00
USD,1.0,CFTC Corn speculative net positions,105.6K,,103.3K,2023-04-21 20:30:00
USD,1.0,CFTC Corn speculative net positions,24.6K,,105.6K,2023-04-28 20:30:00
USD,1.0,CFTC Corn speculative net positions,-60.6K,,24.6K,2023-05-04 20:30:00
USD,1.0,CFTC Corn speculative net positions,-59.1K,,-60.6K,2023-05-12 20:30:00
USD,1.0,CFTC Corn speculative net positions,-48.5K,,-59.1K,2023-05-19 20:30:00
USD,1.0,CFTC Corn speculative net positions,-62.3K,,-48.5K,2023-05-26 20:30:00
USD,1.0,CFTC Corn speculative net positions,-20.4K,,-62.3K,2023-06-02 20:30:00
USD,1.0,CFTC Corn speculative net positions,-14.8K,,-20.4K,2023-06-09 20:30:00
USD,1.0,CFTC Corn speculative net positions,45.1K,,-14.8K,2023-06-16 20:30:00
USD,1.0,CFTC Corn speculative net positions,118.8K,,45.1K,2023-06-23 20:30:00
USD,1.0,CFTC Corn speculative net positions,113.4K,,118.8K,2023-06-30 20:30:00
USD,1.0,CFTC Corn speculative net positions,46.4K,,113.4K,2023-07-07 20:30:00
USD,1.0,CFTC Corn speculative net positions,7.8K,,46.4K,2023-07-14 20:30:00
USD,1.0,CFTC Corn speculative net positions,19.9K,,7.8K,2023-07-21 20:30:00
USD,1.0,CFTC Corn speculative net positions,70.5K,,19.9K,2023-07-28 20:30:00
USD,1.0,CFTC Corn speculative net positions,80.1K,,70.5K,2023-08-04 20:30:00
USD,1.0,CFTC Corn speculative net positions,25.7K,,80.1K,2023-08-11 20:30:00
USD,1.0,CFTC Corn speculative net positions,-27.0K,,25.7K,2023-08-18 20:30:00
USD,1.0,CFTC Corn speculative net positions,-51.5K,,-27.0K,2023-08-25 20:30:00
