Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,2.0,CFTC Gold speculative net positions,141.7K,,136.9K,2023-01-06 20:30:00
USD,2.0,CFTC Gold speculative net positions,150.5K,,141.7K,2023-01-13 20:30:00
USD,2.0,CFTC Gold speculative net positions,153.2K,,150.5K,2023-01-20 20:30:00
USD,2.0,CFTC Gold speculative net positions,157.7K,,153.2K,2023-01-27 20:30:00
USD,2.0,CFTC Gold speculative net positions,160.3K,,157.7K,2023-02-24 20:30:00
USD,2.0,CFTC Gold speculative net positions,128.8K,,160.3K,2023-03-03 20:30:00
USD,2.0,CFTC Gold speculative net positions,107.1K,,128.8K,2023-03-10 20:30:00
USD,2.0,CFTC Gold speculative net positions,98.5K,,107.1K,2023-03-17 20:30:00
USD,2.0,CFTC Gold speculative net positions,158.6K,,98.5K,2023-03-24 20:30:00
USD,2.0,CFTC Gold speculative net positions,181.6K,,158.6K,2023-03-31 20:30:00
USD,2.0,CFTC Gold speculative net positions,195.2K,,181.6K,2023-04-07 20:30:00
USD,2.0,CFTC Gold speculative net positions,192.7K,,195.2K,2023-04-14 20:30:00
USD,2.0,CFTC Gold speculative net positions,189.9K,,192.7K,2023-04-21 20:30:00
USD,2.0,CFTC Gold speculative net positions,185.3K,,189.9K,2023-04-28 20:30:00
USD,2.0,CFTC Gold speculative net positions,195.6K,,185.3K,2023-05-04 20:30:00
USD,2.0,CFTC Gold speculative net positions,195.8K,,195.6K,2023-05-12 20:30:00
USD,2.0,CFTC Gold speculative net positions,179.8K,,195.8K,2023-05-19 20:30:00
USD,2.0,CFTC Gold speculative net positions,160.7K,,179.8K,2023-05-26 20:30:00
USD,2.0,CFTC Gold speculative net positions,169.3K,,160.7K,2023-06-02 20:30:00
USD,2.0,CFTC Gold speculative net positions,175.6K,,169.3K,2023-06-09 20:30:00
USD,2.0,CFTC Gold speculative net positions,160.2K,,175.6K,2023-06-16 20:30:00
USD,2.0,CFTC Gold speculative net positions,163.0K,,160.2K,2023-06-23 20:30:00
USD,2.0,CFTC Gold speculative net positions,151.9K,,163.0K,2023-06-30 20:30:00
USD,2.0,CFTC Gold speculative net positions,163.1K,,151.9K,2023-07-07 20:30:00
