Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,2.0,CFTC Nasdaq 100 speculative net positions,1.4K,,1.2K,2023-01-06 20:30:00
USD,2.0,CFTC Nasdaq 100 speculative net positions,-8.2K,,1.4K,2023-01-13 20:30:00
USD,2.0,CFTC Nasdaq 100 speculative net positions,-20.6K,,-8.2K,2023-01-20 20:30:00
USD,2.0,CFTC Nasdaq 100 speculative net positions,-25.3K,,-20.6K,2023-01-27 20:30:00
USD,2.0,CFTC Nasdaq 100 speculative net positions,-15.9K,,-25.3K,2023-02-24 20:30:00
USD,2.0,CFTC Nasdaq 100 speculative net positions,-14.9K,,-15.9K,2023-03-03 20:30:00
USD,2.0,CFTC Nasdaq 100 speculative net positions,-14.1K,,-14.9K,2023-03-10 20:30:00
USD,2.0,CFTC Nasdaq 100 speculative net positions,-12.4K,,-14.1K,2023-03-17 20:30:00
USD,2.0,CFTC Nasdaq 100 speculative net positions,-5.1K,,-12.4K,2023-03-24 20:30:00
USD,2.0,CFTC Nasdaq 100 speculative net positions,-7.3K,,-5.1K,2023-03-31 20:30:00
USD,2.0,CFTC Nasdaq 100 speculative net positions,-18.4K,,-7.3K,2023-04-07 20:30:00
USD,2.0,CFTC Nasdaq 100 speculative net positions,-2.1K,,-18.4K,2023-04-14 20:30:00
USD,2.0,CFTC Nasdaq 100 speculative net positions,2.7K,,-2.1K,2023-04-21 20:30:00
USD,2.0,CFTC Nasdaq 100 speculative net positions,5.1K,,2.7K,2023-04-28 20:30:00
USD,2.0,CFTC Nasdaq 100 speculative net positions,13.3K,,5.1K,2023-05-04 20:30:00
USD,2.0,CFTC Nasdaq 100 speculative net positions,21.4K,,13.3K,2023-05-12 20:30:00
USD,2.0,CFTC Nasdaq 100 speculative net positions,20.0K,,21.4K,2023-05-19 20:30:00
USD,2.0,CFTC Nasdaq 100 speculative net positions,14.5K,,20.0K,2023-05-26 20:30:00
USD,2.0,CFTC Nasdaq 100 speculative net positions,8.5K,,14.5K,2023-06-02 20:30:00
USD,2.0,CFTC Nasdaq 100 speculative net positions,8.8K,,8.5K,2023-06-09 20:30:00
USD,2.0,CFTC Nasdaq 100 speculative net positions,15.7K,,8.8K,2023-06-16 20:30:00
USD,2.0,CFTC Nasdaq 100 speculative net positions,16.0K,,15.7K,2023-06-23 20:30:00
USD,2.0,CFTC Nasdaq 100 speculative net positions,17.2K,,16.0K,2023-06-30 20:30:00
USD,2.0,CFTC Nasdaq 100 speculative net positions,5.5K,,17.2K,2023-07-07 20:30:00
USD,2.0,CFTC Nasdaq 100 speculative net positions,10.9K,,5.5K,2023-07-14 20:30:00
USD,2.0,CFTC Nasdaq 100 speculative net positions,1.2K,,10.9K,2023-07-21 20:30:00
USD,2.0,CFTC Nasdaq 100 speculative net positions,-10.7K,,1.2K,2023-07-28 20:30:00
USD,2.0,CFTC Nasdaq 100 speculative net positions,-11.4K,,-10.7K,2023-08-04 20:30:00
USD,2.0,CFTC Nasdaq 100 speculative net positions,-10.9K,,-11.4K,2023-08-11 20:30:00
USD,2.0,CFTC Nasdaq 100 speculative net positions,5.2K,,-10.9K,2023-08-18 20:30:00
USD,2.0,CFTC Nasdaq 100 speculative net positions,13.8K,,5.2K,2023-08-25 20:30:00
USD,2.0,CFTC Nasdaq 100 speculative net positions,16.2K,,13.8K,2023-09-01 20:30:00
USD,2.0,CFTC Nasdaq 100 speculative net positions,13.6K,,16.2K,2023-09-08 20:30:00
USD,2.0,CFTC Nasdaq 100 speculative net positions,9.1K,,13.6K,2023-09-15 20:30:00
USD,2.0,CFTC Nasdaq 100 speculative net positions,3.2K,,9.1K,2023-09-22 20:30:00
USD,2.0,CFTC Nasdaq 100 speculative net positions,0.8K,,3.2K,2023-09-29 20:30:00
USD,2.0,CFTC Nasdaq 100 speculative net positions,1.4K,,0.8K,2023-10-06 20:30:00
USD,2.0,CFTC Nasdaq 100 speculative net positions,7.8K,,1.4K,2023-10-13 20:30:00
USD,2.0,CFTC Nasdaq 100 speculative net positions,14.3K,,7.8K,2023-10-20 20:30:00
USD,2.0,CFTC Nasdaq 100 speculative net positions,2.7K,,14.3K,2023-10-27 20:30:00
USD,2.0,CFTC Nasdaq 100 speculative net positions,6.7K,,2.7K,2023-11-03 20:30:00
USD,2.0,CFTC Nasdaq 100 speculative net positions,16.3K,,6.7K,2023-11-13 20:30:00
USD,2.0,CFTC Nasdaq 100 speculative net positions,0.3K,,16.3K,2023-11-17 20:30:00
USD,2.0,CFTC Nasdaq 100 speculative net positions,5.0K,,0.3K,2023-11-27 20:30:00
USD,2.0,CFTC Nasdaq 100 speculative net positions,7.3K,,5.0K,2023-12-01 20:30:00
USD,2.0,CFTC Nasdaq 100 speculative net positions,8.4K,,7.3K,2023-12-08 20:30:00
USD,2.0,CFTC Nasdaq 100 speculative net positions,8.1K,,8.4K,2023-12-15 20:30:00
USD,2.0,CFTC Nasdaq 100 speculative net positions,22.2K,,8.1K,2023-12-22 20:30:00
USD,2.0,CFTC Nasdaq 100 speculative net positions,28.0K,,22.2K,2023-12-28 20:30:00
USD,2.0,CFTC Nasdaq 100 speculative net positions,39.1K,,28.0K,2024-01-05 20:30:00
USD,2.0,CFTC Nasdaq 100 speculative net positions,36.8K,,39.1K,2024-01-12 20:30:00
USD,2.0,CFTC Nasdaq 100 speculative net positions,33.0K,,36.6K,2024-01-26 20:30:00
USD,2.0,CFTC Nasdaq 100 speculative net positions,39.3K,,33.0K,2024-02-02 20:30:00
USD,2.0,CFTC Nasdaq 100 speculative net positions,32.9K,,39.3K,2024-02-09 20:30:00
USD,2.0,CFTC Nasdaq 100 speculative net positions,32.1K,,32.9K,2024-02-16 20:30:00
USD,2.0,CFTC Nasdaq 100 speculative net positions,25.6K,,32.1K,2024-02-23 20:30:00
USD,2.0,CFTC Nasdaq 100 speculative net positions,10.2K,,25.6K,2024-03-01 20:30:00
USD,2.0,CFTC Nasdaq 100 speculative net positions,0.6K,,10.2K,2024-03-08 20:30:00
USD,2.0,CFTC Nasdaq 100 speculative net positions,1.4K,,0.6K,2024-03-15 20:30:00
USD,2.0,CFTC Nasdaq 100 speculative net positions,11.2K,,1.4K,2024-03-22 19:30:00
