Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,1.0,CFTC Natural Gas speculative net positions,-169.8K,,-160.6K,2023-01-06 20:30:00
USD,1.0,CFTC Natural Gas speculative net positions,-172.5K,,-169.8K,2023-01-13 20:30:00
USD,1.0,CFTC Natural Gas speculative net positions,-177.2K,,-172.5K,2023-01-20 20:30:00
USD,1.0,CFTC Natural Gas speculative net positions,-171.0K,,-177.2K,2023-01-27 20:30:00
USD,1.0,CFTC Natural Gas speculative net positions,-169.2K,,-171.0K,2023-02-24 20:30:00
USD,1.0,CFTC Natural Gas speculative net positions,-178.1K,,-169.2K,2023-03-03 20:30:00
USD,1.0,CFTC Natural Gas speculative net positions,-179.3K,,-178.1K,2023-03-10 20:30:00
USD,1.0,CFTC Natural Gas speculative net positions,-156.4K,,-179.3K,2023-03-17 20:30:00
USD,1.0,CFTC Natural Gas speculative net positions,-144.7K,,-156.4K,2023-03-24 20:30:00
USD,1.0,CFTC Natural Gas speculative net positions,-126.2K,,-144.7K,2023-03-31 20:30:00
USD,1.0,CFTC Natural Gas speculative net positions,-130.5K,,-126.2K,2023-04-07 20:30:00
USD,1.0,CFTC Natural Gas speculative net positions,-140.9K,,-130.5K,2023-04-14 20:30:00
USD,1.0,CFTC Natural Gas speculative net positions,-140.0K,,-140.9K,2023-04-21 20:30:00
USD,1.0,CFTC Natural Gas speculative net positions,-136.2K,,-140.0K,2023-04-28 20:30:00
USD,1.0,CFTC Natural Gas speculative net positions,-141.3K,,-136.2K,2023-05-04 20:30:00
USD,1.0,CFTC Natural Gas speculative net positions,-138.8K,,-141.3K,2023-05-12 20:30:00
USD,1.0,CFTC Natural Gas speculative net positions,-124.0K,,-138.8K,2023-05-19 20:30:00
USD,1.0,CFTC Natural Gas speculative net positions,-112.3K,,-124.0K,2023-05-26 20:30:00
USD,1.0,CFTC Natural Gas speculative net positions,-106.2K,,-112.3K,2023-06-02 20:30:00
USD,1.0,CFTC Natural Gas speculative net positions,-126.9K,,-106.2K,2023-06-09 20:30:00
USD,1.0,CFTC Natural Gas speculative net positions,-123.0K,,-126.9K,2023-06-16 20:30:00
USD,1.0,CFTC Natural Gas speculative net positions,-109.3K,,-123.0K,2023-06-23 20:30:00
USD,1.0,CFTC Natural Gas speculative net positions,-92.8K,,-109.3K,2023-06-30 20:30:00
USD,1.0,CFTC Natural Gas speculative net positions,-98.8K,,-92.8K,2023-07-07 20:30:00
USD,1.0,CFTC Natural Gas speculative net positions,-86.8K,,-98.8K,2023-07-14 20:30:00
USD,1.0,CFTC Natural Gas speculative net positions,-95.8K,,-86.8K,2023-07-21 20:30:00
USD,1.0,CFTC Natural Gas speculative net positions,-97.1K,,-95.8K,2023-07-28 20:30:00
USD,1.0,CFTC Natural Gas speculative net positions,-107.0K,,-97.1K,2023-08-04 20:30:00
USD,1.0,CFTC Natural Gas speculative net positions,-107.8K,,-107.0K,2023-08-11 20:30:00
USD,1.0,CFTC Natural Gas speculative net positions,-95.2K,,-107.8K,2023-08-18 20:30:00
USD,1.0,CFTC Natural Gas speculative net positions,-107.3K,,-95.2K,2023-08-25 20:30:00
USD,1.0,CFTC Natural Gas speculative net positions,-116.3K,,-107.3K,2023-09-01 20:30:00
USD,1.0,CFTC Natural Gas speculative net positions,-118.3K,,-116.3K,2023-09-08 20:30:00
USD,1.0,CFTC Natural Gas speculative net positions,-112.0K,,-118.3K,2023-09-15 20:30:00
USD,1.0,CFTC Natural Gas speculative net positions,-93.9K,,-112.0K,2023-09-22 20:30:00
USD,1.0,CFTC Natural Gas speculative net positions,-94.2K,,-93.9K,2023-09-29 20:30:00
USD,1.0,CFTC Natural Gas speculative net positions,-79.2K,,-94.2K,2023-10-06 20:30:00
USD,1.0,CFTC Natural Gas speculative net positions,-50.7K,,-79.2K,2023-10-13 20:30:00
USD,1.0,CFTC Natural Gas speculative net positions,-57.3K,,-50.7K,2023-10-20 20:30:00
USD,1.0,CFTC Natural Gas speculative net positions,-70.3K,,-57.3K,2023-10-27 20:30:00
USD,1.0,CFTC Natural Gas speculative net positions,-54.7K,,-70.3K,2023-11-03 20:30:00
USD,1.0,CFTC Natural Gas speculative net positions,-70.0K,,-54.7K,2023-11-13 20:30:00
USD,1.0,CFTC Natural Gas speculative net positions,-102.6K,,-70.0K,2023-11-17 20:30:00
USD,1.0,CFTC Natural Gas speculative net positions,-120.3K,,-102.6K,2023-11-27 20:30:00
USD,1.0,CFTC Natural Gas speculative net positions,-107.9K,,-120.3K,2023-12-01 20:30:00
USD,1.0,CFTC Natural Gas speculative net positions,-111.1K,,-107.9K,2023-12-08 20:30:00
USD,1.0,CFTC Natural Gas speculative net positions,-111.6K,,-111.1K,2023-12-15 20:30:00
USD,1.0,CFTC Natural Gas speculative net positions,-106.5K,,-111.6K,2023-12-22 20:30:00
USD,1.0,CFTC Natural Gas speculative net positions,-106.1K,,-106.5K,2023-12-28 20:30:00
USD,1.0,CFTC Natural Gas speculative net positions,-91.6K,,-106.1K,2024-01-05 20:30:00
USD,1.0,CFTC Natural Gas speculative net positions,-66.1K,,-91.6K,2024-01-12 20:30:00
USD,1.0,CFTC Natural Gas speculative net positions,-80.6K,,-56.5K,2024-01-26 20:30:00
USD,1.0,CFTC Natural Gas speculative net positions,-103.2K,,-80.6K,2024-02-02 20:30:00
USD,1.0,CFTC Natural Gas speculative net positions,-114.2K,,-103.2K,2024-02-09 20:30:00
USD,1.0,CFTC Natural Gas speculative net positions,-136.6K,,-114.2K,2024-02-16 20:30:00
USD,1.0,CFTC Natural Gas speculative net positions,-153.9K,,-136.6K,2024-02-23 20:30:00
USD,1.0,CFTC Natural Gas speculative net positions,-141.6K,,-153.9K,2024-03-01 20:30:00
USD,1.0,CFTC Natural Gas speculative net positions,-128.7K,,-141.6K,2024-03-08 20:30:00
USD,1.0,CFTC Natural Gas speculative net positions,-101.5K,,-128.7K,2024-03-15 20:30:00
USD,1.0,CFTC Natural Gas speculative net positions,-103.6K,,-101.5K,2024-03-22 19:30:00
USD,1.0,CFTC Natural Gas speculative net positions,-117.3K,,-103.6K,2024-03-29 19:30:00
USD,1.0,CFTC Natural Gas speculative net positions,-118.7K,,-117.3K,2024-04-05 19:30:00
