Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,2.0,CFTC S&P 500 speculative net positions,-167.3K,,-174.3K,1/6/2023 20:30
USD,2.0,CFTC S&P 500 speculative net positions,-213.2K,,-167.3K,1/13/2023 20:30
USD,2.0,CFTC S&P 500 speculative net positions,-226.8K,,-213.2K,1/20/2023 20:30
USD,2.0,CFTC S&P 500 speculative net positions,-209.0K,,-226.8K,1/27/2023 20:30
USD,2.0,CFTC S&P 500 speculative net positions,-222.3K,,-209.0K,2/24/2023 20:30
USD,2.0,CFTC S&P 500 speculative net positions,-217.5K,,-222.3K,3/3/2023 20:30
USD,2.0,CFTC S&P 500 speculative net positions,-234.3K,,-217.5K,3/10/2023 20:30
USD,2.0,CFTC S&P 500 speculative net positions,-209.5K,,-234.3K,3/17/2023 20:30
USD,2.0,CFTC S&P 500 speculative net positions,-202.5K,,-209.5K,3/24/2023 20:30
USD,2.0,CFTC S&P 500 speculative net positions,-224.7K,,-202.5K,3/31/2023 20:30
USD,2.0,CFTC S&P 500 speculative net positions,-321.5K,,-224.7K,4/7/2023 20:30
USD,2.0,CFTC S&P 500 speculative net positions,-307.6K,,-321.5K,4/14/2023 20:30
USD,2.0,CFTC S&P 500 speculative net positions,-344.3K,,-307.6K,4/21/2023 20:30
USD,2.0,CFTC S&P 500 speculative net positions,-363.3K,,-344.3K,4/28/2023 20:30
USD,2.0,CFTC S&P 500 speculative net positions,-355.4K,,-363.3K,5/4/2023 20:30
USD,2.0,CFTC S&P 500 speculative net positions,-376.0K,,-355.4K,5/12/2023 20:30
USD,2.0,CFTC S&P 500 speculative net positions,-388.7K,,-376.0K,5/19/2023 20:30
USD,2.0,CFTC S&P 500 speculative net positions,-404.3K,,-388.7K,5/26/2023 20:30
USD,2.0,CFTC S&P 500 speculative net positions,-434.2K,,-404.3K,6/2/2023 20:30
USD,2.0,CFTC S&P 500 speculative net positions,-344.5K,,-434.2K,6/9/2023 20:30
USD,2.0,CFTC S&P 500 speculative net positions,-331.4K,,-344.5K,6/16/2023 20:30
USD,2.0,CFTC S&P 500 speculative net positions,-239.3K,,-331.4K,6/23/2023 20:30
USD,2.0,CFTC S&P 500 speculative net positions,-208.3K,,-239.3K,6/30/2023 20:30
USD,2.0,CFTC S&P 500 speculative net positions,-207.2K,,-208.3K,7/7/2023 20:30
USD,2.0,CFTC S&P 500 speculative net positions,-209.0K,,-207.2K,7/14/2023 20:30
USD,2.0,CFTC S&P 500 speculative net positions,-263.7K,,-209.0K,7/21/2023 20:30
USD,2.0,CFTC S&P 500 speculative net positions,-232.6K,,-263.7K,7/28/2023 20:30
USD,2.0,CFTC S&P 500 speculative net positions,-200.0K,,-232.6K,8/4/2023 20:30
USD,2.0,CFTC S&P 500 speculative net positions,-159.6K,,-200.0K,8/11/2023 20:30
USD,2.0,CFTC S&P 500 speculative net positions,-118.4K,,-159.6K,8/18/2023 20:30
USD,2.0,CFTC S&P 500 speculative net positions,-133.5K,,-118.4K,8/25/2023 20:30
USD,2.0,CFTC S&P 500 speculative net positions,-142.1K,,-133.5K,9/1/2023 20:30
USD,2.0,CFTC S&P 500 speculative net positions,-144.2K,,-142.1K,9/8/2023 20:30
USD,2.0,CFTC S&P 500 speculative net positions,-116.3K,,-144.2K,9/15/2023 20:30
USD,2.0,CFTC S&P 500 speculative net positions,-139.0K,,-116.3K,9/22/2023 20:30
USD,2.0,CFTC S&P 500 speculative net positions,-89.3K,,-139.0K,9/29/2023 20:30
USD,2.0,CFTC S&P 500 speculative net positions,-73.2K,,-89.3K,10/6/2023 20:30
USD,2.0,CFTC S&P 500 speculative net positions,-94.4K,,-73.2K,10/13/2023 20:30
USD,2.0,CFTC S&P 500 speculative net positions,-63.2K,,-94.4K,10/20/2023 20:30
USD,2.0,CFTC S&P 500 speculative net positions,10.2K,,-63.2K,10/27/2023 20:30
USD,2.0,CFTC S&P 500 speculative net positions,4.3K,,10.2K,11/3/2023 20:30
USD,2.0,CFTC S&P 500 speculative net positions,-53.4K,,4.3K,11/13/2023 20:30
USD,2.0,CFTC S&P 500 speculative net positions,-52.8K,,-53.4K,11/17/2023 20:30
USD,2.0,CFTC S&P 500 speculative net positions,-80.1K,,-52.8K,11/27/2023 20:30
USD,2.0,CFTC S&P 500 speculative net positions,-65.0K,,-80.1K,12/1/2023 20:30
USD,2.0,CFTC S&P 500 speculative net positions,-47.3K,,-65.0K,12/8/2023 20:30
USD,2.0,CFTC S&P 500 speculative net positions,-65.1K,,-47.3K,12/15/2023 20:30
USD,2.0,CFTC S&P 500 speculative net positions,-195.4K,,-65.1K,12/22/2023 20:30
USD,2.0,CFTC S&P 500 speculative net positions,-192.5K,,-195.4K,12/28/2023 20:30
USD,2.0,CFTC S&P 500 speculative net positions,-214.1K,,-192.5K,1/5/2024 20:30
USD,2.0,CFTC S&P 500 speculative net positions,-117.0K,,-214.1K,1/12/2024 20:30
USD,2.0,CFTC S&P 500 speculative net positions,-189.5K,,-169.2K,1/26/2024 20:30
USD,2.0,CFTC S&P 500 speculative net positions,-226.0K,,-189.5K,2/2/2024 20:30
USD,2.0,CFTC S&P 500 speculative net positions,-233.0K,,-226.0K,2/9/2024 20:30
USD,2.0,CFTC S&P 500 speculative net positions,-215.8K,,-233.0K,2/16/2024 20:30
USD,2.0,CFTC S&P 500 speculative net positions,-218.5K,,-215.8K,2/23/2024 20:30
USD,2.0,CFTC S&P 500 speculative net positions,-224.2K,,-218.5K,3/1/2024 20:30
USD,2.0,CFTC S&P 500 speculative net positions,-204.4K,,-224.2K,3/8/2024 20:30
USD,2.0,CFTC S&P 500 speculative net positions,-239.8K,,-204.4K,3/15/2024 20:30
USD,2.0,CFTC S&P 500 speculative net positions,-194.2K,,-239.8K,3/22/2024 19:30
USD,2.0,CFTC S&P 500 speculative net positions,-169.4K,,-194.2K,3/29/2024 19:30
USD,2.0,CFTC S&P 500 speculative net positions,-78.1K,,-169.4K,4/5/2024 19:30
USD,2.0,CFTC S&P 500 speculative net positions,-62.9K,,-78.1K,4/11/2024 19:30
USD,2.0,CFTC S&P 500 speculative net positions,74.1K,,-62.9K,4/19/2024 19:30
USD,2.0,CFTC S&P 500 speculative net positions,67.7K,,74.1K,4/26/2024 19:30
