Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,1.0,CFTC Soybeans speculative net positions,148.6K,,133.5K,2023-01-06 20:30:00
USD,1.0,CFTC Soybeans speculative net positions,140.3K,,148.6K,2023-01-13 20:30:00
USD,1.0,CFTC Soybeans speculative net positions,169.1K,,140.3K,2023-01-20 20:30:00
USD,1.0,CFTC Soybeans speculative net positions,155.2K,,169.1K,2023-01-27 20:30:00
USD,1.0,CFTC Soybeans speculative net positions,178.4K,,155.2K,2023-02-24 20:30:00
USD,1.0,CFTC Soybeans speculative net positions,174.8K,,178.4K,2023-03-03 20:30:00
USD,1.0,CFTC Soybeans speculative net positions,193.3K,,174.8K,2023-03-10 20:30:00
USD,1.0,CFTC Soybeans speculative net positions,180.2K,,193.3K,2023-03-17 20:30:00
USD,1.0,CFTC Soybeans speculative net positions,171.8K,,180.2K,2023-03-24 20:30:00
USD,1.0,CFTC Soybeans speculative net positions,161.0K,,171.8K,2023-03-31 20:30:00
USD,1.0,CFTC Soybeans speculative net positions,184.3K,,161.0K,2023-04-07 20:30:00
USD,1.0,CFTC Soybeans speculative net positions,179.3K,,184.3K,2023-04-14 20:30:00
USD,1.0,CFTC Soybeans speculative net positions,177.5K,,179.3K,2023-04-21 20:30:00
USD,1.0,CFTC Soybeans speculative net positions,104.1K,,177.5K,2023-04-28 20:30:00
USD,1.0,CFTC Soybeans speculative net positions,75.1K,,104.1K,2023-05-04 20:30:00
USD,1.0,CFTC Soybeans speculative net positions,64.3K,,75.1K,2023-05-12 20:30:00
USD,1.0,CFTC Soybeans speculative net positions,38.2K,,64.3K,2023-05-19 20:30:00
USD,1.0,CFTC Soybeans speculative net positions,29.2K,,38.2K,2023-05-26 20:30:00
USD,1.0,CFTC Soybeans speculative net positions,29.8K,,29.2K,2023-06-02 20:30:00
USD,1.0,CFTC Soybeans speculative net positions,39.2K,,29.8K,2023-06-09 20:30:00
USD,1.0,CFTC Soybeans speculative net positions,62.9K,,39.2K,2023-06-16 20:30:00
USD,1.0,CFTC Soybeans speculative net positions,88.5K,,62.9K,2023-06-23 20:30:00
USD,1.0,CFTC Soybeans speculative net positions,101.8K,,88.5K,2023-06-30 20:30:00
USD,1.0,CFTC Soybeans speculative net positions,91.0K,,101.8K,2023-07-07 20:30:00
USD,1.0,CFTC Soybeans speculative net positions,90.9K,,91.0K,2023-07-14 20:30:00
USD,1.0,CFTC Soybeans speculative net positions,107.3K,,90.9K,2023-07-21 20:30:00
USD,1.0,CFTC Soybeans speculative net positions,135.0K,,107.3K,2023-07-28 20:30:00
USD,1.0,CFTC Soybeans speculative net positions,113.8K,,135.0K,2023-08-04 20:30:00
USD,1.0,CFTC Soybeans speculative net positions,83.5K,,113.8K,2023-08-11 20:30:00
USD,1.0,CFTC Soybeans speculative net positions,65.3K,,83.5K,2023-08-18 20:30:00
USD,1.0,CFTC Soybeans speculative net positions,66.1K,,65.3K,2023-08-25 20:30:00
USD,1.0,CFTC Soybeans speculative net positions,92.2K,,66.1K,2023-09-01 20:30:00
USD,1.0,CFTC Soybeans speculative net positions,87.3K,,92.2K,2023-09-08 20:30:00
USD,1.0,CFTC Soybeans speculative net positions,85.2K,,87.3K,2023-09-15 20:30:00
USD,1.0,CFTC Soybeans speculative net positions,62.7K,,85.2K,2023-09-22 20:30:00
USD,1.0,CFTC Soybeans speculative net positions,46.5K,,62.7K,2023-09-29 20:30:00
USD,1.0,CFTC Soybeans speculative net positions,22.5K,,46.5K,2023-10-06 20:30:00
USD,1.0,CFTC Soybeans speculative net positions,23.4K,,22.5K,2023-10-13 20:30:00
USD,1.0,CFTC Soybeans speculative net positions,27.1K,,23.4K,2023-10-20 20:30:00
USD,1.0,CFTC Soybeans speculative net positions,36.5K,,27.1K,2023-10-27 20:30:00
USD,1.0,CFTC Soybeans speculative net positions,16.3K,,36.5K,2023-11-03 20:30:00
USD,1.0,CFTC Soybeans speculative net positions,63.6K,,16.3K,2023-11-13 20:30:00
USD,1.0,CFTC Soybeans speculative net positions,86.7K,,63.6K,2023-11-17 20:30:00
USD,1.0,CFTC Soybeans speculative net positions,73.8K,,86.7K,2023-11-27 20:30:00
USD,1.0,CFTC Soybeans speculative net positions,50.7K,,73.8K,2023-12-01 20:30:00
USD,1.0,CFTC Soybeans speculative net positions,20.3K,,50.7K,2023-12-08 20:30:00
USD,1.0,CFTC Soybeans speculative net positions,17.5K,,20.3K,2023-12-15 20:30:00
USD,1.0,CFTC Soybeans speculative net positions,2.0K,,17.5K,2023-12-22 20:30:00
USD,1.0,CFTC Soybeans speculative net positions,-11.9K,,2.0K,2023-12-28 20:30:00
USD,1.0,CFTC Soybeans speculative net positions,-21.9K,,-11.9K,2024-01-05 20:30:00
USD,1.0,CFTC Soybeans speculative net positions,-38.0K,,-21.9K,2024-01-12 20:30:00
USD,1.0,CFTC Soybeans speculative net positions,-106.0K,,-93.7K,2024-01-26 20:30:00
USD,1.0,CFTC Soybeans speculative net positions,-140.6K,,-106.0K,2024-02-02 20:30:00
USD,1.0,CFTC Soybeans speculative net positions,-160.8K,,-140.6K,2024-02-09 20:30:00
USD,1.0,CFTC Soybeans speculative net positions,-161.8K,,-160.8K,2024-02-16 20:30:00
USD,1.0,CFTC Soybeans speculative net positions,-160.3K,,-161.8K,2024-02-23 20:30:00
USD,1.0,CFTC Soybeans speculative net positions,-191.2K,,-160.3K,2024-03-01 20:30:00
