Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,1.0,"CPI, n.s.a (MoM) (Dec)",-0.31%,,-0.10%,2023-01-12 13:30:00
USD,1.0,"CPI, n.s.a (MoM) (Jan)",0.80%,,-0.31%,2023-02-14 13:30:00
USD,1.0,"CPI, n.s.a (MoM) (Feb)",0.56%,,0.80%,2023-03-14 12:30:00
USD,1.0,"CPI, n.s.a (MoM) (Mar)",0.33%,0.40%,0.56%,2023-04-12 12:30:00
USD,1.0,"CPI, n.s.a (MoM) (Apr)",0.51%,,0.33%,2023-05-10 12:30:00
USD,1.0,"CPI, n.s.a (MoM) (May)",0.25%,,0.51%,2023-06-13 12:30:00
USD,1.0,"CPI, n.s.a (MoM) (Jun)",0.32%,,0.25%,2023-07-12 12:30:00
USD,1.0,"CPI, n.s.a (MoM) (Jul)",0.19%,,0.32%,2023-08-10 12:30:00
USD,1.0,"CPI, n.s.a (MoM) (Aug)",0.44%,,0.19%,2023-09-13 12:30:00
USD,1.0,"CPI, n.s.a (MoM) (Sep)",0.25%,,0.44%,2023-10-12 12:30:00
USD,1.0,"CPI, n.s.a (MoM) (Oct)",-0.04%,,0.25%,2023-11-14 13:30:00
USD,1.0,"CPI, n.s.a (MoM) (Nov)",-0.20%,,-0.04%,2023-12-12 13:30:00
USD,1.0,"CPI, n.s.a (MoM) (Dec)",-0.10%,,-0.20%,2024-01-11 13:30:00
USD,1.0,"CPI, n.s.a (MoM) (Jan)",0.54%,,-0.10%,2024-02-13 13:30:00
USD,1.0,"CPI, n.s.a (MoM) (Feb)",0.62%,,0.54%,2024-03-12 12:30:00
USD,1.0,"CPI, n.s.a (MoM) (Mar)",0.65%,,0.62%,2024-04-10 12:30:00
USD,1.0,"CPI, n.s.a (MoM) (Apr)",0.39%,,0.65%,2024-05-15 12:30:00
