Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,1.0,"CPI Index, n.s.a. (Dec)",296.8,296.7,297.71,2023-01-12 13:30:00
USD,1.0,"CPI Index, n.s.a. (Jan)",299.17,298.66,296.8,2023-02-14 13:30:00
USD,1.0,"CPI Index, n.s.a. (Feb)",300.84,300.86,299.17,2023-03-14 12:30:00
USD,1.0,"CPI Index, n.s.a. (Mar)",301.84,302.25,300.84,2023-04-12 12:30:00
USD,1.0,"CPI Index, n.s.a. (Apr)",303.36,303.53,301.84,2023-05-10 12:30:00
USD,1.0,"CPI Index, n.s.a. (May)",304.13,304.06,303.36,2023-06-13 12:30:00
USD,1.0,"CPI Index, n.s.a. (Jun)",305.11,305.22,304.13,2023-07-12 12:30:00
USD,1.0,"CPI Index, n.s.a. (Jul)",305.69,305.84,305.11,2023-08-10 12:30:00
USD,1.0,"CPI Index, n.s.a. (Aug)",307.03,306.98,305.69,2023-09-13 12:30:00
USD,1.0,"CPI Index, n.s.a. (Sep)",307.79,307.39,307.03,2023-10-12 12:30:00
USD,1.0,"CPI Index, n.s.a. (Oct)",307.67,307.86,307.79,2023-11-14 13:30:00
USD,1.0,"CPI Index, n.s.a. (Nov)",307.05,306.9,307.67,2023-12-12 13:30:00
USD,1.0,"CPI Index, n.s.a. (Dec)",306.75,306.61,307.05,2024-01-11 13:30:00
USD,1.0,"CPI Index, n.s.a. (Jan)",308.42,307.99,306.75,2024-02-13 13:30:00
USD,1.0,"CPI Index, n.s.a. (Feb)",310.33,310.3,308.42,2024-03-12 12:30:00
USD,1.0,"CPI Index, n.s.a. (Mar)",312.33,312.1,310.33,2024-04-10 12:30:00
USD,1.0,"CPI Index, n.s.a. (Apr)",313.55,313.76,312.33,2024-05-15 12:30:00
