Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,1.0,"CPI Index, s.a (Dec)",298.11,,298.35,2023-01-12 13:30:00
USD,1.0,"CPI Index, s.a (Jan)",300.54,,298.99,2023-02-14 13:30:00
USD,1.0,"CPI Index, s.a (Feb)",301.65,,300.54,2023-03-14 12:30:00
USD,1.0,"CPI Index, s.a (Mar)",301.81,302.6,301.65,2023-04-12 12:30:00
USD,1.0,"CPI Index, s.a (Apr)",302.92,303.28,301.81,2023-05-10 12:30:00
USD,1.0,"CPI Index, s.a (May)",303.29,303.7,302.92,2023-06-13 12:30:00
USD,1.0,"CPI Index, s.a (Jun)",303.84,303.7,303.29,2023-07-12 12:30:00
USD,1.0,"CPI Index, s.a (Jul)",304.35,,303.84,2023-08-10 12:30:00
USD,1.0,"CPI Index, s.a (Aug)",306.27,,304.35,2023-09-13 12:30:00
USD,1.0,"CPI Index, s.a (Sep)",307.48,,306.27,2023-10-12 12:30:00
USD,1.0,"CPI Index, s.a (Oct)",307.62,,307.48,2023-11-14 13:30:00
USD,1.0,"CPI Index, s.a (Nov)",307.92,,307.62,2023-12-12 13:30:00
USD,1.0,"CPI Index, s.a (Dec)",308.85,,307.92,2024-01-11 13:30:00
USD,1.0,"CPI Index, s.a (Jan)",309.69,,308.74,2024-02-13 13:30:00
USD,1.0,"CPI Index, s.a (Feb)",311.05,,309.68,2024-03-12 12:30:00
USD,1.0,"CPI Index, s.a (Mar)",312.23,,311.05,2024-04-10 12:30:00
USD,1.0,"CPI Index, s.a (Apr)",312.21,,312.23,2024-05-15 12:30:00
