Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,3.0,CPI (MoM) (Dec),-0.10%,0.00%,0.20%,1/12/2023 13:30
USD,3.0,CPI (MoM) (Jan),0.50%,0.50%,0.10%,2/14/2023 13:30
USD,3.0,CPI (MoM) (Feb),0.40%,0.40%,0.50%,3/14/2023 12:30
USD,3.0,CPI (MoM) (Mar),0.10%,0.20%,0.40%,4/12/2023 12:30
USD,3.0,CPI (MoM) (Apr),0.40%,0.40%,0.10%,5/10/2023 12:30
USD,3.0,CPI (MoM) (May),0.10%,0.20%,0.40%,6/13/2023 12:30
USD,3.0,CPI (MoM) (Jun),0.20%,0.30%,0.10%,7/12/2023 12:30
USD,3.0,CPI (MoM) (Jul),0.20%,0.20%,0.20%,8/10/2023 12:30
USD,3.0,CPI (MoM) (Aug),0.60%,0.60%,0.20%,9/13/2023 12:30
USD,3.0,CPI (MoM) (Sep),0.40%,0.30%,0.50%,10/12/2023 12:30
USD,3.0,CPI (MoM) (Oct),0.00%,0.10%,0.40%,11/14/2023 13:30
USD,3.0,CPI (MoM) (Nov),0.10%,0.00%,0.10%,12/12/2023 13:30
USD,3.0,CPI (MoM) (Dec),0.30%,0.20%,0.20%,1/11/2024 13:30
USD,3.0,CPI (MoM) (Jan),0.30%,0.20%,0.20%,2/13/2024 13:30
USD,3.0,CPI (MoM) (Feb),0.40%,0.40%,0.30%,3/12/2024 12:30
USD,3.0,CPI (MoM) (Mar),0.40%,0.30%,0.40%,4/10/2024 12:30
