Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,3.0,CPI (YoY) (Dec),6.50%,6.50%,7.10%,1/12/2023 13:30
USD,3.0,CPI (YoY) (Jan),6.40%,6.20%,6.50%,2/14/2023 13:30
USD,3.0,CPI (YoY) (Feb),6.00%,6.00%,6.40%,3/14/2023 12:30
USD,3.0,CPI (YoY) (Mar),5.00%,5.20%,6.00%,4/12/2023 12:30
USD,3.0,CPI (YoY) (Apr),4.90%,5.00%,5.00%,5/10/2023 12:30
USD,3.0,CPI (YoY) (May),4.00%,4.10%,4.90%,6/13/2023 12:30
USD,3.0,CPI (YoY) (Jun),3.00%,3.10%,4.00%,7/12/2023 12:30
USD,3.0,CPI (YoY) (Jul),3.20%,3.30%,3.00%,8/10/2023 12:30
USD,3.0,CPI (YoY) (Aug),3.70%,3.60%,3.20%,9/13/2023 12:30
USD,3.0,CPI (YoY) (Sep),3.70%,3.60%,3.70%,10/12/2023 12:30
USD,3.0,CPI (YoY) (Oct),3.20%,3.30%,3.70%,11/14/2023 13:30
USD,3.0,CPI (YoY) (Nov),3.10%,3.10%,3.20%,12/12/2023 13:30
USD,3.0,CPI (YoY) (Dec),3.40%,3.20%,3.10%,1/11/2024 13:30
USD,3.0,CPI (YoY) (Jan),3.10%,2.90%,3.40%,2/13/2024 13:30
USD,3.0,CPI (YoY) (Feb),3.20%,3.10%,3.10%,3/12/2024 12:30
USD,3.0,CPI (YoY) (Mar),3.50%,3.40%,3.20%,4/10/2024 12:30
