Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,1.0,Capacity Utilization Rate (Dec),78.80%,79.60%,79.40%,1/18/2023 14:15
USD,1.0,Capacity Utilization Rate (Jan),78.30%,79.00%,78.40%,2/15/2023 14:15
USD,1.0,Capacity Utilization Rate (Feb),78.00%,78.50%,78.00%,3/17/2023 13:15
USD,1.0,Capacity Utilization Rate (Mar),79.80%,79.00%,79.60%,4/14/2023 13:15
USD,1.0,Capacity Utilization Rate (Apr),79.70%,79.70%,79.40%,5/16/2023 13:15
USD,1.0,Capacity Utilization Rate (May),79.60%,79.70%,79.80%,6/15/2023 13:15
USD,1.0,Capacity Utilization Rate (Jun),78.90%,79.50%,79.40%,7/18/2023 13:15
USD,1.0,Capacity Utilization Rate (Jul),79.30%,79.10%,78.60%,8/16/2023 13:15
USD,1.0,Capacity Utilization Rate (Aug),79.70%,79.30%,79.50%,9/15/2023 13:15
USD,1.0,Capacity Utilization Rate (Sep),79.70%,79.60%,79.50%,10/17/2023 13:15
USD,1.0,Capacity Utilization Rate (Oct),78.90%,79.40%,79.50%,11/16/2023 14:15
USD,1.0,Capacity Utilization Rate (Nov),78.80%,79.10%,78.70%,12/15/2023 14:15
USD,1.0,Capacity Utilization Rate (Dec),78.60%,78.70%,78.60%,1/17/2024 14:15
USD,1.0,Capacity Utilization Rate (Jan),78.50%,78.80%,78.70%,2/15/2024 14:15
USD,1.0,Capacity Utilization Rate (Feb),78.30%,78.50%,78.30%,3/15/2024 13:15
USD,1.0,Capacity Utilization Rate (Mar),78.40%,78.50%,78.20%,4/16/2024 13:15
