Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,1.0,Cleveland CPI (MoM) (Dec),0.40%,,0.50%,1/12/2023 16:00
USD,1.0,Cleveland CPI (MoM) (Jan),0.70%,,0.60%,2/14/2023 16:00
USD,1.0,Cleveland CPI (MoM) (Feb),0.60%,,0.70%,3/14/2023 15:00
USD,1.0,Cleveland CPI (MoM) (Mar),0.40%,0.60%,0.60%,4/12/2023 15:00
USD,1.0,Cleveland CPI (MoM) (Apr),0.40%,0.60%,0.40%,5/10/2023 15:00
USD,1.0,Cleveland CPI (MoM) (May),0.40%,0.50%,0.40%,6/13/2023 15:00
USD,1.0,Cleveland CPI (MoM) (Jun),0.40%,0.40%,0.40%,7/12/2023 15:00
USD,1.0,Cleveland CPI (MoM) (Jul),0.20%,0.40%,0.40%,8/10/2023 15:00
USD,1.0,Cleveland CPI (MoM) (Aug),0.30%,,0.20%,9/13/2023 15:00
USD,1.0,Cleveland CPI (MoM) (Sep),0.50%,,0.30%,10/12/2023 15:00
USD,1.0,Cleveland CPI (MoM) (Oct),0.30%,,0.50%,11/14/2023 16:00
USD,1.0,Cleveland CPI (MoM) (Nov),0.40%,,0.30%,12/12/2023 16:00
USD,1.0,Cleveland CPI (MoM) (Dec),0.40%,,0.40%,1/11/2024 16:00
USD,1.0,Cleveland CPI (MoM) (Jan),0.50%,,0.30%,2/13/2024 16:00
USD,1.0,Cleveland CPI (MoM) (Feb),0.40%,,0.50%,3/12/2024 15:00
USD,1.0,Cleveland CPI (MoM) (Mar),0.40%,,0.40%,4/10/2024 15:00
