Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,2.0,Construction Spending (MoM) (Nov),0.20%,-0.40%,-0.20%,1/3/2023 15:00
USD,2.0,Construction Spending (MoM) (Dec),-0.40%,-0.10%,0.50%,2/1/2023 15:00
USD,2.0,Construction Spending (MoM) (Jan),-0.10%,0.20%,-0.70%,3/1/2023 15:00
USD,2.0,Construction Spending (MoM) (Feb),-0.10%,-0.10%,0.40%,4/3/2023 14:00
USD,2.0,Construction Spending (MoM) (Mar),0.30%,0.10%,-0.30%,5/1/2023 14:00
USD,2.0,Construction Spending (MoM) (Apr),1.20%,0.10%,0.30%,6/1/2023 14:00
USD,2.0,Construction Spending (MoM) (May),0.90%,0.50%,0.40%,7/3/2023 14:00
USD,2.0,Construction Spending (MoM) (Jun),0.50%,0.60%,1.10%,8/1/2023 14:00
USD,2.0,Construction Spending (MoM) (Jul),0.70%,0.50%,0.60%,9/1/2023 14:00
USD,2.0,Construction Spending (MoM) (Aug),0.50%,0.50%,0.90%,10/2/2023 14:00
USD,2.0,Construction Spending (MoM) (Sep),0.40%,0.40%,1.00%,11/1/2023 14:00
USD,2.0,Construction Spending (MoM) (Oct),0.60%,0.40%,0.20%,12/1/2023 15:00
USD,2.0,Construction Spending (MoM) (Nov),0.40%,0.50%,1.20%,1/2/2024 15:00
USD,2.0,Construction Spending (MoM) (Dec),0.90%,0.50%,0.90%,2/1/2024 15:00
USD,2.0,Construction Spending (MoM) (Jan),-0.20%,0.20%,1.10%,3/1/2024 15:00
USD,2.0,Construction Spending (MoM) (Feb),-0.30%,0.70%,-0.20%,4/1/2024 14:00
