Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,2.0,Core Durable Goods Orders (MoM) (Dec),-0.10%,-0.20%,0.10%,1/26/2023 13:30
USD,2.0,Core Durable Goods Orders (MoM) (Jan),0.70%,0.10%,-0.40%,2/27/2023 13:30
USD,2.0,Core Durable Goods Orders (MoM) (Feb),0.00%,0.20%,0.40%,3/24/2023 12:30
USD,2.0,Core Durable Goods Orders (MoM) (Mar),0.30%,-0.20%,-0.30%,4/26/2023 12:30
USD,2.0,Core Durable Goods Orders (MoM) (Apr),-0.20%,0.00%,0.30%,5/26/2023 12:30
USD,2.0,Core Durable Goods Orders (MoM) (May),0.60%,-0.10%,-0.60%,6/27/2023 12:30
USD,2.0,Core Durable Goods Orders (MoM) (Jun),0.60%,0.00%,0.60%,7/27/2023 12:30
USD,2.0,Core Durable Goods Orders (MoM) (Jul),0.50%,0.20%,0.20%,8/24/2023 12:30
USD,2.0,Core Durable Goods Orders (MoM) (Aug),0.40%,0.10%,0.10%,9/27/2023 12:30
USD,2.0,Core Durable Goods Orders (MoM) (Sep),0.50%,0.20%,0.50%,10/26/2023 12:30
USD,2.0,Core Durable Goods Orders (MoM) (Oct),0.00%,0.10%,0.20%,11/22/2023 13:30
USD,2.0,Core Durable Goods Orders (MoM) (Nov),0.50%,0.20%,-0.30%,12/22/2023 13:30
USD,2.0,Core Durable Goods Orders (MoM) (Dec),0.60%,0.20%,0.50%,1/25/2024 13:30
USD,2.0,Core Durable Goods Orders (MoM) (Jan),-0.30%,0.20%,-0.10%,2/27/2024 13:30
USD,2.0,Core Durable Goods Orders (MoM) (Feb),0.50%,0.40%,-0.30%,3/26/2024 12:30
USD,2.0,Core Durable Goods Orders (MoM) (Mar),0.20%,0.30%,0.10%,4/24/2024 12:30
