Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,3.0,Core PCE Price Index (MoM) (Dec),0.30%,0.30%,0.20%,1/27/2023 13:30
USD,3.0,Core PCE Price Index (MoM) (Jan),0.60%,0.40%,0.40%,2/24/2023 13:30
USD,3.0,Core PCE Price Index (MoM) (Feb),0.30%,0.40%,0.50%,3/31/2023 12:30
USD,3.0,Core PCE Price Index (MoM) (Mar),0.30%,0.30%,0.30%,4/28/2023 12:30
USD,3.0,Core PCE Price Index (MoM) (Apr),0.40%,0.30%,0.30%,5/26/2023 12:30
USD,3.0,Core PCE Price Index (MoM) (May),0.30%,0.30%,0.40%,6/30/2023 12:30
USD,3.0,Core PCE Price Index (MoM) (Jun),0.20%,0.20%,0.30%,7/28/2023 12:30
USD,3.0,Core PCE Price Index (MoM) (Jul),0.20%,0.20%,0.20%,8/31/2023 12:30
USD,3.0,Core PCE Price Index (MoM) (Aug),0.10%,0.20%,0.20%,9/29/2023 12:30
USD,3.0,Core PCE Price Index (MoM) (Sep),0.30%,0.30%,0.10%,10/27/2023 12:30
USD,3.0,Core PCE Price Index (MoM) (Oct),0.20%,0.20%,0.30%,11/30/2023 13:30
USD,3.0,Core PCE Price Index (MoM) (Nov),0.10%,0.20%,0.10%,12/22/2023 13:30
USD,32.0,Core PCE Price Index (MoM) (Dec),0.20%,0.20%,0.10%,1/26/2024 13:30
USD,3.0,Core PCE Price Index (MoM) (Jan),0.40%,0.40%,0.10%,2/29/2024 13:30
USD,3.0,Core PCE Price Index (MoM) (Feb),0.30%,0.30%,0.50%,3/29/2024 12:30
USD,3.0,Core PCE Price Index (MoM) (Mar),0.30%,0.30%,0.30%,4/26/2024 12:30
