Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,2.0,Core PCE Prices (Q4),3.90%,4.00%,4.70%,1/26/2023 13:30
USD,2.0,Core PCE Prices (Q4),4.30%,3.90%,4.70%,2/23/2023 13:30
USD,2.0,Core PCE Prices (Q4),4.40%,4.30%,4.70%,3/30/2023 12:30
USD,2.0,Core PCE Prices (Q1),4.90%,4.70%,4.40%,4/27/2023 12:30
USD,2.0,Core PCE Prices (Q1),5.00%,4.90%,4.40%,5/25/2023 12:30
USD,2.0,Core PCE Prices (Q1),4.90%,5.00%,4.40%,6/29/2023 12:30
USD,2.0,Core PCE Prices (Q2),3.80%,4.00%,4.90%,7/27/2023 12:30
USD,2.0,Core PCE Prices (Q2),3.70%,3.80%,4.90%,8/30/2023 12:30
USD,2.0,Core PCE Prices (Q2),3.70%,3.70%,4.90%,9/28/2023 12:30
USD,2.0,Core PCE Prices (Q3),2.40%,2.50%,3.70%,10/26/2023 12:30
USD,2.0,Core PCE Prices (Q3),2.30%,2.40%,3.70%,11/29/2023 13:30
USD,2.0,Core PCE Prices (Q3),2.00%,2.30%,3.70%,12/21/2023 13:30
USD,2.0,Core PCE Prices (Q4),2.00%,2.00%,2.00%,1/25/2024 13:30
USD,2.0,Core PCE Prices (Q4),2.10%,2.00%,2.00%,2/28/2024 13:30
USD,2.0,Core PCE Prices (Q4),2.00%,2.10%,2.00%,3/28/2024 12:30
USD,2.0,Core PCE Prices (Q1),3.70%,3.40%,2.00%,4/25/2024 12:30
