Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,,Cushing Crude Oil Inventories,0.244M,,-0.195M,1/5/2023 16:00
USD,2.0,Cushing Crude Oil Inventories,2.511M,,0.244M,1/11/2023 15:30
USD,1.0,Cushing Crude Oil Inventories,3.646M,,2.511M,1/19/2023 16:00
USD,2.0,Cushing Crude Oil Inventories,4.267M,,3.646M,1/25/2023 15:30
USD,2.0,Cushing Crude Oil Inventories,2.315M,,4.267M,2/1/2023 15:30
USD,2.0,Cushing Crude Oil Inventories,1.043M,,2.315M,2/8/2023 15:30
USD,2.0,Cushing Crude Oil Inventories,0.659M,,1.043M,2/15/2023 15:30
USD,2.0,Cushing Crude Oil Inventories,0.700M,,0.659M,2/23/2023 16:00
USD,2.0,Cushing Crude Oil Inventories,0.307M,,0.700M,3/1/2023 15:30
USD,2.0,Cushing Crude Oil Inventories,-0.890M,,0.307M,3/8/2023 15:30
USD,2.0,Cushing Crude Oil Inventories,-1.916M,,-0.890M,3/15/2023 14:30
USD,2.0,Cushing Crude Oil Inventories,-1.063M,-1.558M,-1.916M,3/22/2023 14:30
USD,2.0,Cushing Crude Oil Inventories,-1.632M,,-1.063M,3/29/2023 14:30
USD,2.0,Cushing Crude Oil Inventories,-0.970M,-0.518M,-1.632M,4/5/2023 14:30
USD,2.0,Cushing Crude Oil Inventories,-0.409M,0.130M,-0.970M,4/12/2023 14:30
USD,2.0,Cushing Crude Oil Inventories,-1.088M,0.622M,-0.409M,4/19/2023 14:30
USD,2.0,Cushing Crude Oil Inventories,0.319M,0.667M,-1.088M,4/26/2023 14:30
USD,2.0,Cushing Crude Oil Inventories,0.541M,0.745M,0.319M,5/3/2023 14:30
USD,2.0,Cushing Crude Oil Inventories,0.397M,0.862M,0.541M,5/10/2023 14:30
USD,2.0,Cushing Crude Oil Inventories,1.461M,0.864M,0.397M,5/17/2023 14:30
USD,2.0,Cushing Crude Oil Inventories,1.762M,0.804M,1.461M,5/24/2023 14:30
USD,2.0,Cushing Crude Oil Inventories,1.628M,0.772M,1.762M,6/1/2023 15:00
USD,2.0,Cushing Crude Oil Inventories,1.721M,0.719M,1.628M,6/7/2023 14:30
USD,2.0,Cushing Crude Oil Inventories,1.554M,0.922M,1.721M,6/14/2023 14:30
USD,2.0,Cushing Crude Oil Inventories,-0.098M,0.618M,1.554M,6/22/2023 15:00
USD,2.0,Cushing Crude Oil Inventories,1.209M,0.089M,-0.098M,6/28/2023 14:30
USD,1.0,Cushing Crude Oil Inventories,-0.400M,-0.307M,1.209M,7/6/2023 15:00
USD,2.0,Cushing Crude Oil Inventories,-1.605M,-0.805M,-0.400M,7/12/2023 14:30
USD,2.0,Cushing Crude Oil Inventories,-2.891M,-0.835M,-1.605M,7/19/2023 14:30
USD,2.0,Cushing Crude Oil Inventories,-2.609M,-1.442M,-2.891M,7/26/2023 14:30
USD,2.0,Cushing Crude Oil Inventories,-1.259M,-2.494M,-2.609M,8/2/2023 14:30
USD,2.0,Cushing Crude Oil Inventories,0.159M,-1.783M,-1.259M,8/9/2023 14:30
USD,2.0,Cushing Crude Oil Inventories,-0.837M,0.131M,0.159M,8/16/2023 14:30
USD,2.0,Cushing Crude Oil Inventories,-3.133M,-0.906M,-0.837M,8/23/2023 14:30
USD,2.0,Cushing Crude Oil Inventories,-1.504M,-2.440M,-3.133M,8/30/2023 14:30
USD,2.0,Cushing Crude Oil Inventories,-1.750M,,-1.504M,9/7/2023 15:00
USD,2.0,Cushing Crude Oil Inventories,-2.450M,,-1.750M,9/13/2023 14:30
USD,2.0,Cushing Crude Oil Inventories,-2.064M,,-2.450M,9/20/2023 14:30
USD,2.0,Cushing Crude Oil Inventories,-0.943M,,-2.064M,9/27/2023 14:30
USD,2.0,Cushing Crude Oil Inventories,0.132M,,-0.943M,10/4/2023 14:30
USD,2.0,Cushing Crude Oil Inventories,-0.319M,,0.132M,10/12/2023 15:00
USD,2.0,Cushing Crude Oil Inventories,-0.758M,,-0.319M,10/18/2023 14:30
USD,2.0,Cushing Crude Oil Inventories,0.213M,,-0.758M,10/25/2023 14:30
USD,2.0,Cushing Crude Oil Inventories,0.272M,,0.213M,11/1/2023 14:30
USD,2.0,Cushing Crude Oil Inventories,1.587M,,0.272M,11/15/2023 15:29
USD,2.0,Cushing Crude Oil Inventories,1.900M,,1.587M,11/15/2023 15:30
USD,2.0,Cushing Crude Oil Inventories,0.858M,,1.925M,11/22/2023 15:30
USD,2.0,Cushing Crude Oil Inventories,1.854M,,0.858M,11/29/2023 15:30
USD,2.0,Cushing Crude Oil Inventories,1.829M,,1.854M,12/6/2023 15:30
USD,2.0,Cushing Crude Oil Inventories,1.228M,,1.829M,12/13/2023 15:30
USD,2.0,Cushing Crude Oil Inventories,1.686M,,1.228M,12/20/2023 15:30
USD,2.0,Cushing Crude Oil Inventories,1.508M,,1.686M,12/28/2023 16:00
USD,2.0,Cushing Crude Oil Inventories,0.706M,,1.508M,1/4/2024 16:00
USD,2.0,Cushing Crude Oil Inventories,-0.506M,,0.706M,1/10/2024 15:30
USD,2.0,Cushing Crude Oil Inventories,-2.099M,,-0.506M,1/18/2024 16:00
USD,2.0,Cushing Crude Oil Inventories,-2.008M,,-2.099M,1/24/2024 15:30
USD,2.0,Cushing Crude Oil Inventories,-1.972M,,-2.008M,1/31/2024 15:30
USD,2.0,Cushing Crude Oil Inventories,-0.033M,,-1.972M,2/7/2024 15:30
USD,2.0,Cushing Crude Oil Inventories,0.710M,,-0.033M,2/14/2024 15:30
USD,2.0,Cushing Crude Oil Inventories,0.741M,,0.710M,2/22/2024 16:00
USD,2.0,Cushing Crude Oil Inventories,1.458M,,0.741M,2/28/2024 15:30
USD,2.0,Cushing Crude Oil Inventories,0.701M,,1.458M,3/6/2024 15:30
USD,2.0,Cushing Crude Oil Inventories,-0.220M,,0.701M,3/13/2024 14:30
USD,2.0,Cushing Crude Oil Inventories,-0.018M,,-0.220M,3/20/2024 14:30
USD,2.0,Cushing Crude Oil Inventories,2.107M,,-0.018M,3/27/2024 14:30
USD,2.0,Cushing Crude Oil Inventories,-0.377M,,2.107M,4/3/2024 14:30
USD,2.0,Cushing Crude Oil Inventories,-0.170M,,-0.377M,4/10/2024 14:30
USD,2.0,Cushing Crude Oil Inventories,0.033M,,-0.170M,4/17/2024 14:30
USD,2.0,Cushing Crude Oil Inventories,-0.659M,,0.033M,4/24/2024 14:30
