Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,1.0,Dallas Fed PCE (Dec),2.30%,,3.00%,1/27/2023 18:14
USD,1.0,Dallas Fed PCE (Jan),6.30%,,4.00%,2/24/2023 19:00
USD,1.0,Dallas Fed PCE (Feb),4.00%,,5.80%,3/31/2023 17:23
USD,1.0,Dallas Fed PCE (Mar),3.40%,,4.60%,4/28/2023 15:20
USD,1.0,Dallas Fed PCE (Apr),4.40%,,3.80%,5/26/2023 23:59
USD,1.0,Dallas Fed PCE (May),3.20%,,4.30%,6/30/2023 16:40
USD,1.0,Dallas Fed PCE (Jun),2.50%,4.30%,3.50%,7/28/2023 14:20
USD,1.0,Dallas Fed PCE (Jul),2.40%,,2.60%,8/31/2023 16:41
USD,1.0,Dallas Fed PCE (Aug),2.70%,,2.60%,9/29/2023 16:00
USD,1.0,Dallas Fed PCE (Sep),4.00%,,2.80%,10/27/2023 14:00
USD,1.0,Dallas Fed PCE (Oct),2.70%,,4.10%,11/30/2023 16:45
USD,1.0,Dallas Fed PCE (Nov),1.50%,,2.70%,12/22/2023 20:30
USD,1.0,Dallas Fed PCE (Dec),2.60%,,1.60%,1/26/2024 14:00
USD,1.0,Dallas Fed PCE (Jan),5.00%,,1.80%,2/29/2024 14:00
USD,1.0,Dallas Fed PCE (Feb),3.40%,,5.70%,3/29/2024 13:00
USD,1.0,Dallas Fed PCE (Mar),2.90%,,3.40%,4/26/2024 13:00
