Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,1.0,Dallas Fed Services Revenues (Jan),4.9,,-0.6,1/31/2023 15:30
USD,1.0,Dallas Fed Services Revenues (Feb),6.6,,4.9,2/28/2023 15:30
USD,1.0,Dallas Fed Services Revenues,5.5,,6.6,3/28/2023 14:30
USD,1.0,Dallas Fed Services Revenues (Apr),6.9,4,5.5,4/25/2023 14:30
USD,1.0,Dallas Fed Services Revenues (May),6.9,4.2,6.9,5/31/2023 14:30
USD,1.0,Dallas Fed Services Revenues (Jun),3.6,6,6.9,6/27/2023 14:30
USD,1.0,Dallas Fed Services Revenues (Jul),12.9,5.6,3.6,8/1/2023 14:30
USD,1.0,Dallas Fed Services Revenues (Aug),16.2,6.8,12.9,8/29/2023 14:30
USD,1.0,Dallas Fed Services Revenues (Sep),8.7,,16.2,9/26/2023 14:30
USD,1.0,Dallas Fed Services Revenues (Oct),0.7,,8.7,10/31/2023 14:30
USD,1.0,Dallas Fed Services Revenues (Nov),-2.4,,0.7,11/28/2023 15:30
USD,1.0,Dallas Fed Services Revenues (Dec),4.3,,-2.4,12/27/2023 15:30
USD,1.0,Dallas Fed Services Revenues (Jan),-3.6,,4,1/30/2024 15:30
USD,1.0,Dallas Fed Services Revenues (Feb),5.2,,-3.6,2/27/2024 15:30
USD,1.0,Dallas Fed Services Revenues (Mar),4,,5.2,3/26/2024 14:30
USD,1.0,Dallas Fed Services Revenues (Apr),0.3,,4,4/30/2024 14:30
