Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,1.0,Durables Excluding Defense (MoM) (Nov),-2.70%,,-2.60%,2023-01-06 15:00:00
USD,1.0,Durables Excluding Defense (MoM) (Dec),6.30%,,-2.30%,2023-01-26 13:30:00
USD,1.0,Durables Excluding Defense (MoM) (Dec),6.20%,,6.30%,2023-02-02 15:00:00
USD,1.0,Durables Excluding Defense (MoM) (Jan),-5.10%,,5.60%,2023-02-27 13:30:00
USD,1.0,Durables Excluding Defense (MoM) (Jan),-5.10%,,-5.10%,2023-03-06 15:00:00
USD,1.0,Durables Excluding Defense (MoM) (Feb),-0.50%,,-5.60%,2023-03-24 12:30:00
USD,1.0,Durables Excluding Defense (MoM) (Feb),-0.50%,,-0.50%,2023-04-04 14:00:00
USD,1.0,Durables Excluding Defense (MoM) (Mar),3.50%,,-0.80%,2023-04-26 12:30:00
USD,1.0,Durables Excluding Defense (MoM) (Mar),3.40%,,3.50%,2023-05-02 14:00:00
USD,1.0,Durables Excluding Defense (MoM) (Apr),-0.60%,,3.20%,2023-05-26 12:30:00
USD,1.0,Durables Excluding Defense (MoM) (Apr),-0.70%,,-0.60%,2023-06-05 14:00:00
USD,1.0,Durables Excluding Defense (MoM) (May),3.00%,,-0.50%,2023-06-27 12:30:00
USD,1.0,Durables Excluding Defense (MoM) (May),3.00%,,3.00%,2023-07-05 14:00:00
USD,1.0,Durables Excluding Defense (MoM) (Jun),6.20%,0.00%,3.20%,2023-07-27 12:30:00
USD,1.0,Durables Excluding Defense (MoM) (Jun),6.00%,,6.20%,2023-08-03 14:00:00
USD,1.0,Durables Excluding Defense (MoM) (Jul),-5.40%,,5.90%,2023-08-24 12:30:00
USD,1.0,Durables Excluding Defense (MoM) (Jul),-5.50%,,-5.40%,2023-09-05 14:00:00
USD,1.0,Durables Excluding Defense (MoM) (Aug),-0.70%,,-6.00%,2023-09-27 12:30:00
USD,1.0,Durables Excluding Defense (MoM) (Aug),-0.70%,,-0.70%,2023-10-04 14:00:00
USD,1.0,Durables Excluding Defense (MoM) (Sep),5.80%,,-0.70%,2023-10-26 12:30:00
USD,1.0,Durables Excluding Defense (MoM) (Sep),5.70%,,5.80%,2023-11-02 14:00:00
USD,1.0,Durables Excluding Defense (MoM) (Oct),-6.70%,,5.00%,2023-11-22 13:30:00
USD,1.0,Durables Excluding Defense (MoM) (Oct),-6.70%,,-6.70%,2023-12-04 15:00:00
USD,1.0,Durables Excluding Defense (MoM) (Nov),6.50%,,-6.40%,2023-12-22 13:30:00
USD,1.0,Durables Excluding Defense (MoM) (Nov),6.50%,,6.50%,2024-01-05 15:00:00
USD,1.0,Durables Excluding Defense (MoM) (Dec),0.50%,,6.90%,2024-01-25 13:30:00
USD,1.0,Durables Excluding Defense (MoM) (Dec),0.50%,,0.50%,2024-02-02 15:00:00
USD,1.0,Durables Excluding Defense (MoM) (Jan),-7.30%,,0.10%,2024-02-27 13:30:00
USD,1.0,Durables Excluding Defense (MoM) (Jan),-7.40%,,-7.30%,2024-03-05 15:00:00
USD,1.0,Durables Excluding Defense (MoM) (Feb),2.20%,,-7.90%,2024-03-26 12:30:00
USD,1.0,Durables Excluding Defense (MoM) (Feb),2.10%,,2.20%,2024-04-02 14:00:00
USD,1.0,Durables Excluding Defense (MoM) (Mar),2.30%,,1.50%,2024-04-24 12:30:00
USD,1.0,Durables Excluding Defense (MoM) (Mar),2.30%,,2.30%,2024-05-02 14:00:00
USD,1.0,Durables Excluding Defense (MoM) (Apr),,,2.30%,2024-05-24 12:30:00
USD,1.0,Durables Excluding Defense (MoM) (Apr),,,2.30%,2024-06-04 14:00:00
