Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,,EIA Refinery Crude Runs (WoW),-2.329M,,0.173M,2023-01-05 16:00:00
USD,1.0,EIA Refinery Crude Runs (WoW),0.831M,,-2.329M,2023-01-11 15:30:00
USD,1.0,EIA Refinery Crude Runs (WoW),0.202M,,0.831M,2023-01-19 16:00:00
USD,1.0,EIA Refinery Crude Runs (WoW),0.128M,,0.202M,2023-01-25 15:30:00
USD,1.0,EIA Refinery Crude Runs (WoW),-0.020M,,0.128M,2023-02-01 15:30:00
USD,1.0,EIA Refinery Crude Runs (WoW),0.449M,,-0.020M,2023-02-08 15:30:00
USD,1.0,EIA Refinery Crude Runs (WoW),-0.383M,,0.449M,2023-02-15 15:30:00
USD,1.0,EIA Refinery Crude Runs (WoW),-0.017M,,-0.383M,2023-02-23 16:00:00
USD,1.0,EIA Refinery Crude Runs (WoW),-0.031M,,-0.017M,2023-03-01 15:30:00
USD,1.0,EIA Refinery Crude Runs (WoW),-0.012M,,-0.031M,2023-03-08 15:30:00
USD,1.0,EIA Refinery Crude Runs (WoW),0.431M,,-0.012M,2023-03-15 14:30:00
USD,1.0,EIA Refinery Crude Runs (WoW),-0.022M,,0.431M,2023-03-22 14:30:00
USD,1.0,EIA Refinery Crude Runs (WoW),0.437M,,-0.022M,2023-03-29 14:30:00
USD,1.0,EIA Refinery Crude Runs (WoW),-0.198M,,0.437M,2023-04-05 14:30:00
USD,1.0,EIA Refinery Crude Runs (WoW),-0.030M,,-0.198M,2023-04-12 14:30:00
USD,1.0,EIA Refinery Crude Runs (WoW),0.259M,,-0.030M,2023-04-19 14:30:00
USD,1.0,EIA Refinery Crude Runs (WoW),-0.011M,,0.259M,2023-04-26 14:30:00
USD,1.0,EIA Refinery Crude Runs (WoW),-0.098M,,-0.011M,2023-05-03 14:30:00
USD,1.0,EIA Refinery Crude Runs (WoW),0.010M,,-0.098M,2023-05-10 14:30:00
USD,1.0,EIA Refinery Crude Runs (WoW),0.245M,,0.010M,2023-05-17 14:30:00
USD,1.0,EIA Refinery Crude Runs (WoW),0.079M,,0.245M,2023-05-24 14:30:00
USD,1.0,EIA Refinery Crude Runs (WoW),0.096M,,0.079M,2023-06-01 15:00:00
USD,1.0,EIA Refinery Crude Runs (WoW),0.482M,,0.096M,2023-06-07 14:30:00
USD,1.0,EIA Refinery Crude Runs (WoW),-0.061M,,0.482M,2023-06-14 14:30:00
USD,1.0,EIA Refinery Crude Runs (WoW),-0.116M,,-0.061M,2023-06-22 15:00:00
USD,1.0,EIA Refinery Crude Runs (WoW),-0.216M,,-0.116M,2023-06-28 14:30:00
USD,1.0,EIA Refinery Crude Runs (WoW),-0.224M,,-0.216M,2023-07-06 15:00:00
USD,1.0,EIA Refinery Crude Runs (WoW),0.629M,,-0.224M,2023-07-12 14:30:00
USD,1.0,EIA Refinery Crude Runs (WoW),-0.074M,,0.629M,2023-07-19 14:30:00
USD,1.0,EIA Refinery Crude Runs (WoW),-0.107M,,-0.074M,2023-07-26 14:30:00
USD,1.0,EIA Refinery Crude Runs (WoW),0.039M,,-0.107M,2023-08-02 14:30:00
USD,1.0,EIA Refinery Crude Runs (WoW),0.062M,,0.039M,2023-08-09 14:30:00
USD,1.0,EIA Refinery Crude Runs (WoW),0.167M,,0.062M,2023-08-16 14:30:00
USD,1.0,EIA Refinery Crude Runs (WoW),0.030M,,0.167M,2023-08-23 14:30:00
USD,1.0,EIA Refinery Crude Runs (WoW),-0.173M,,0.030M,2023-08-30 14:30:00
USD,1.0,EIA Refinery Crude Runs (WoW),0.020M,,-0.173M,2023-09-07 15:00:00
USD,1.0,EIA Refinery Crude Runs (WoW),0.177M,,0.020M,2023-09-13 14:30:00
