Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,,4-Week Bill Auction,4.10%,,3.83%,2023-01-05 16:30:00
USD,1.0,4-Week Bill Auction,4.37%,,4.10%,2023-01-12 16:30:00
USD,1.0,4-Week Bill Auction,4.48%,,4.37%,2023-01-19 16:36:00
USD,1.0,4-Week Bill Auction,4.50%,,4.48%,2023-01-26 16:30:00
USD,1.0,4-Week Bill Auction,4.49%,,4.50%,2023-02-02 16:30:00
USD,1.0,4-Week Bill Auction,4.52%,,4.49%,2023-02-09 16:30:00
USD,1.0,4-Week Bill Auction,4.51%,,4.52%,2023-02-16 16:30:00
USD,1.0,4-Week Bill Auction,4.52%,,4.51%,2023-02-23 16:30:00
USD,1.0,4-Week Bill Auction,4.59%,,4.52%,2023-03-02 16:30:00
USD,1.0,4-Week Bill Auction,4.64%,,4.59%,2023-03-09 16:30:00
USD,1.0,4-Week Bill Auction,4.22%,,4.64%,2023-03-17 14:00:00
USD,1.0,4-Week Bill Auction,4.15%,,4.22%,2023-03-23 15:30:00
USD,1.0,4-Week Bill Auction,4.60%,,4.15%,2023-03-30 15:30:00
USD,1.0,4-Week Bill Auction,4.44%,,4.60%,2023-04-06 15:30:00
USD,1.0,4-Week Bill Auction,4.03%,,4.44%,2023-04-13 15:30:00
USD,1.0,4-Week Bill Auction,3.19%,,4.03%,2023-04-20 15:30:00
USD,1.0,4-Week Bill Auction,3.83%,,3.19%,2023-04-27 15:30:00
USD,1.0,4-Week Bill Auction,5.84%,,3.83%,2023-05-04 15:30:00
USD,1.0,4-Week Bill Auction,5.61%,,5.84%,2023-05-11 15:30:00
USD,1.0,4-Week Bill Auction,5.37%,,5.61%,2023-05-18 15:30:00
USD,1.0,4-Week Bill Auction,5.75%,,5.37%,2023-05-25 15:30:00
USD,1.0,4-Week Bill Auction,5.13%,,5.75%,2023-06-01 15:30:00
USD,1.0,4-Week Bill Auction,5.09%,,5.13%,2023-06-08 15:30:00
USD,1.0,4-Week Bill Auction,5.01%,,5.09%,2023-06-15 15:30:00
USD,1.0,4-Week Bill Auction,5.01%,,5.01%,2023-06-22 15:30:00
USD,1.0,4-Week Bill Auction,5.09%,,5.01%,2023-06-29 15:30:00
USD,1.0,4-Week Bill Auction,5.15%,,5.09%,2023-07-06 15:30:00
USD,1.0,4-Week Bill Auction,5.21%,,5.15%,2023-07-13 15:30:00
USD,1.0,4-Week Bill Auction,5.26%,,5.21%,2023-07-20 15:30:00
USD,1.0,4-Week Bill Auction,5.28%,,5.26%,2023-07-27 15:30:00
USD,1.0,4-Week Bill Auction,5.28%,,5.28%,2023-08-03 15:30:00
USD,1.0,4-Week Bill Auction,5.28%,,5.28%,2023-08-10 15:30:00
USD,1.0,4-Week Bill Auction,5.28%,,5.28%,2023-08-17 15:30:00
USD,1.0,4-Week Bill Auction,5.29%,,5.28%,2023-08-24 15:30:00
USD,1.0,4-Week Bill Auction,5.28%,,5.29%,2023-08-31 15:30:00
USD,1.0,4-Week Bill Auction,5.28%,,5.28%,2023-09-07 15:30:00
USD,1.0,4-Week Bill Auction,5.29%,,5.28%,2023-09-14 15:30:00
USD,1.0,4-Week Bill Auction,5.28%,,5.29%,2023-09-21 15:30:00
USD,1.0,4-Week Bill Auction,5.29%,,5.28%,2023-09-28 15:30:00
USD,1.0,4-Week Bill Auction,5.31%,,5.29%,2023-10-05 15:30:00
USD,1.0,4-Week Bill Auction,5.33%,,5.31%,2023-10-12 15:30:00
USD,1.0,4-Week Bill Auction,5.31%,,5.33%,2023-10-19 15:30:00
USD,1.0,4-Week Bill Auction,5.30%,,5.31%,2023-10-26 15:30:00
USD,1.0,4-Week Bill Auction,5.29%,,5.30%,2023-11-02 15:30:00
USD,1.0,4-Week Bill Auction,5.29%,,5.29%,2023-11-09 16:30:00
USD,1.0,4-Week Bill Auction,5.29%,,5.29%,2023-11-16 16:30:00
USD,1.0,4-Week Bill Auction,5.30%,,5.29%,2023-11-22 16:30:00
USD,1.0,4-Week Bill Auction,5.29%,,5.30%,2023-11-30 16:30:00
USD,1.0,4-Week Bill Auction,5.29%,,5.29%,2023-12-07 16:30:00
USD,1.0,4-Week Bill Auction,5.27%,,5.29%,2023-12-14 16:30:00
