Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,2.0,7-Year Note Auction,3.52%,,3.92%,2023-01-26 18:00:00
USD,2.0,7-Year Note Auction,4.06%,,3.52%,2023-02-23 18:00:00
USD,2.0,7-Year Note Auction,3.63%,,4.06%,2023-03-29 17:00:00
USD,2.0,7-Year Note Auction,3.56%,,3.63%,2023-04-27 17:00:00
USD,1.0,7-Year Note Auction,3.83%,,3.56%,2023-05-25 17:00:00
USD,2.0,7-Year Note Auction,3.84%,,3.83%,2023-06-28 17:00:00
USD,2.0,7-Year Note Auction,4.09%,,3.84%,2023-07-27 17:00:00
USD,2.0,7-Year Note Auction,4.21%,,4.09%,2023-08-29 17:00:00
USD,2.0,7-Year Note Auction,4.67%,,4.21%,2023-09-28 17:00:00
USD,2.0,7-Year Note Auction,4.91%,,4.67%,2023-10-26 17:00:00
USD,2.0,7-Year Note Auction,4.40%,,4.91%,2023-11-28 18:00:00
USD,2.0,7-Year Note Auction,3.86%,,4.40%,2023-12-28 18:00:00
USD,2.0,7-Year Note Auction,4.11%,,3.86%,2024-01-25 18:00:00
USD,2.0,7-Year Note Auction,4.33%,,4.11%,2024-02-27 18:00:00
USD,2.0,7-Year Note Auction,4.19%,,4.33%,2024-03-27 17:00:00
USD,2.0,7-Year Note Auction,4.72%,,4.19%,2024-04-25 17:00:00
