Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,,ADP Nonfarm Employment Change (Dec),235K,150K,182K,2023-01-05 13:15:00
USD,3.0,ADP Nonfarm Employment Change (Jan),106K,178K,253K,2023-02-01 13:15:00
USD,3.0,ADP Nonfarm Employment Change (Feb),242K,200K,119K,2023-03-08 13:15:00
USD,3.0,ADP Nonfarm Employment Change (Mar),145K,200K,261K,2023-04-05 12:15:00
USD,3.0,ADP Nonfarm Employment Change (Apr),296K,148K,142K,2023-05-03 12:15:00
USD,3.0,ADP Nonfarm Employment Change (May),278K,170K,291K,2023-06-01 12:15:00
USD,3.0,ADP Nonfarm Employment Change (Jun),497K,228K,267K,2023-07-06 12:15:00
USD,3.0,ADP Nonfarm Employment Change (Jul),324K,189K,455K,2023-08-02 12:15:00
USD,3.0,ADP Nonfarm Employment Change (Aug),177K,195K,371K,2023-08-30 12:15:00
USD,3.0,ADP Nonfarm Employment Change (Sep),89K,153K,180K,2023-10-04 12:15:00
USD,3.0,ADP Nonfarm Employment Change (Oct),113K,150K,89K,2023-11-01 12:15:00
USD,3.0,ADP Nonfarm Employment Change (Nov),103K,130K,106K,2023-12-06 13:15:00
USD,3.0,ADP Nonfarm Employment Change (Dec),164K,115K,101K,2024-01-04 13:15:00
USD,3.0,ADP Nonfarm Employment Change (Jan),107K,145K,158K,2024-01-31 13:15:00
USD,3.0,ADP Nonfarm Employment Change (Feb),140K,149K,111K,2024-03-06 13:15:00
USD,3.0,ADP Nonfarm Employment Change (Mar),184K,148K,155K,2024-04-03 12:15:00
USD,3.0,ADP Nonfarm Employment Change (Apr),192K,179K,208K,2024-05-01 12:15:00
USD,3.0,ADP Nonfarm Employment Change (May),,,192K,2024-06-05 12:15:00
