Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,2.0,Atlanta Fed GDPNow (Q4),2.30%,,,2023-10-27 17:30:00
USD,2.0,Atlanta Fed GDPNow (Q4),1.20%,2.30%,2.30%,2023-11-01 17:30:00
USD,2.0,Atlanta Fed GDPNow (Q4),2.10%,1.20%,1.20%,2023-11-07 16:00:00
USD,2.0,Atlanta Fed GDPNow (Q4),2.10%,2.10%,2.10%,2023-11-08 16:30:00
USD,2.0,Atlanta Fed GDPNow (Q4),2.20%,2.10%,2.10%,2023-11-15 17:00:00
USD,2.0,Atlanta Fed GDPNow (Q4),2.00%,2.20%,2.20%,2023-11-17 16:30:00
USD,2.0,Atlanta Fed GDPNow (Q4),2.10%,2.00%,2.00%,2023-11-22 16:30:00
USD,2.0,Atlanta Fed GDPNow (Q4),1.80%,2.10%,2.10%,2023-11-30 16:30:00
USD,2.0,Atlanta Fed GDPNow (Q4),1.20%,1.80%,1.80%,2023-12-01 16:30:00
USD,2.0,Atlanta Fed GDPNow (Q4),1.30%,1.20%,1.20%,2023-12-06 16:30:00
USD,2.0,Atlanta Fed GDPNow (Q4),1.20%,1.30%,1.30%,2023-12-07 17:45:00
USD,2.0,Atlanta Fed GDPNow (Q4),2.60%,1.20%,1.20%,2023-12-14 16:30:00
USD,2.0,Atlanta Fed GDPNow (Q4),2.70%,2.60%,2.60%,2023-12-19 16:15:00
USD,2.0,Atlanta Fed GDPNow (Q4),2.30%,2.70%,2.70%,2023-12-22 17:20:00
USD,2.0,Atlanta Fed GDPNow (Q4),2.00%,2.30%,2.30%,2024-01-02 18:00:00
USD,2.0,Atlanta Fed GDPNow (Q4),2.50%,2.00%,2.00%,2024-01-03 18:00:00
USD,2.0,Atlanta Fed GDPNow (Q4),2.20%,2.50%,2.50%,2024-01-09 16:30:00
USD,2.0,Atlanta Fed GDPNow (Q4),2.20%,2.20%,2.20%,2024-01-10 18:00:00
USD,2.0,Atlanta Fed GDPNow (Q4),2.40%,2.20%,2.20%,2024-01-17 18:00:00
USD,2.0,Atlanta Fed GDPNow (Q4),2.40%,2.40%,2.40%,2024-01-18 16:30:00
USD,2.0,Atlanta Fed GDPNow (Q1),3.00%,,,2024-01-26 16:30:00
USD,2.0,Atlanta Fed GDPNow (Q1),4.20%,3.00%,3.00%,2024-02-01 17:45:00
USD,2.0,Atlanta Fed GDPNow (Q1),3.40%,4.20%,4.20%,2024-02-07 16:30:00
USD,2.0,Atlanta Fed GDPNow (Q1),3.40%,3.40%,3.40%,2024-02-08 18:00:00
USD,2.0,Atlanta Fed GDPNow (Q1),2.90%,3.40%,3.40%,2024-02-15 18:00:00
USD,2.0,Atlanta Fed GDPNow (Q1),2.90%,2.90%,2.90%,2024-02-16 16:30:00
USD,2.0,Atlanta Fed GDPNow (Q1),3.20%,2.90%,2.90%,2024-02-27 16:30:00
USD,2.0,Atlanta Fed GDPNow (Q1),3.00%,3.20%,3.20%,2024-02-29 16:30:00
USD,2.0,Atlanta Fed GDPNow (Q1),2.10%,3.00%,3.00%,2024-03-01 18:00:00
USD,2.0,Atlanta Fed GDPNow (Q1),2.50%,2.10%,2.10%,2024-03-06 18:00:00
USD,2.0,Atlanta Fed GDPNow (Q1),2.50%,2.50%,2.50%,2024-03-07 16:30:00
USD,2.0,Atlanta Fed GDPNow (Q1),2.30%,2.50%,2.50%,2024-03-14 18:00:00
USD,2.0,Atlanta Fed GDPNow (Q1),2.10%,2.30%,2.30%,2024-03-19 16:30:00
USD,2.0,Atlanta Fed GDPNow (Q1),2.10%,2.10%,2.10%,2024-03-26 16:30:00
USD,2.0,Atlanta Fed GDPNow (Q1),2.30%,2.10%,2.10%,2024-03-29 16:30:00
USD,2.0,Atlanta Fed GDPNow (Q1),2.80%,2.30%,2.30%,2024-04-01 18:00:00
USD,2.0,Atlanta Fed GDPNow (Q1),2.50%,2.80%,2.80%,2024-04-04 16:30:00
USD,2.0,Atlanta Fed GDPNow (Q1),2.40%,2.50%,2.50%,2024-04-10 18:00:00
USD,2.0,Atlanta Fed GDPNow (Q1),2.80%,2.40%,2.40%,2024-04-15 17:00:00
USD,2.0,Atlanta Fed GDPNow (Q1),2.90%,2.80%,2.80%,2024-04-16 16:00:00
USD,2.0,Atlanta Fed GDPNow (Q1),2.70%,2.90%,2.90%,2024-04-24 15:00:00
USD,2.0,Atlanta Fed GDPNow (Q2),3.90%,,,2024-04-26 16:00:00
USD,2.0,Atlanta Fed GDPNow (Q2),3.30%,3.90%,3.90%,2024-05-01 17:00:00
USD,2.0,Atlanta Fed GDPNow (Q2),3.30%,3.30%,3.30%,2024-05-02 17:00:00
USD,2.0,Atlanta Fed GDPNow (Q2),4.20%,3.30%,3.30%,2024-05-08 16:00:00
USD,2.0,Atlanta Fed GDPNow (Q2),3.80%,4.20%,4.20%,2024-05-15 17:00:00
USD,2.0,Atlanta Fed GDPNow (Q2),3.60%,3.80%,3.80%,2024-05-16 14:30:00
USD,2.0,Atlanta Fed GDPNow (Q2),,3.60%,3.60%,2024-05-24 14:30:00
USD,2.0,Atlanta Fed GDPNow (Q2),,,,2024-05-31 14:30:00
