Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,3.0,CB Consumer Confidence (Jan),107.1,109,109,2023-01-31 15:00:00
USD,3.0,CB Consumer Confidence (Feb),102.9,108.5,106,2023-02-28 15:00:00
USD,3.0,CB Consumer Confidence (Mar),104.2,101,103.4,2023-03-28 14:00:00
USD,3.0,CB Consumer Confidence (Apr),101.3,104,104,2023-04-25 14:00:00
USD,3.0,CB Consumer Confidence (May),102.3,99,103.7,2023-05-30 14:00:00
USD,3.0,CB Consumer Confidence (Jun),109.7,104,102.5,2023-06-27 14:00:00
USD,3.0,CB Consumer Confidence (Jul),117,111.8,110.1,2023-07-25 14:00:00
USD,3.0,CB Consumer Confidence (Aug),106.1,116,114,2023-08-29 14:00:00
USD,3.0,CB Consumer Confidence (Sep),103,105.5,108.7,2023-09-26 14:00:00
USD,3.0,CB Consumer Confidence (Oct),102.6,100,104.3,2023-10-31 14:00:00
USD,3.0,CB Consumer Confidence (Nov),102,101,99.1,2023-11-28 15:00:00
USD,3.0,CB Consumer Confidence (Dec),110.7,103.8,101,2023-12-20 15:00:00
USD,3.0,CB Consumer Confidence (Jan),114.8,114.2,108,2024-01-30 15:00:00
USD,3.0,CB Consumer Confidence (Feb),106.7,114.8,110.9,2024-02-27 15:00:00
USD,3.0,CB Consumer Confidence (Mar),104.7,106.9,104.8,2024-03-26 14:00:00
USD,3.0,CB Consumer Confidence (Apr),97,104,103.1,2024-04-30 14:00:00
USD,3.0,CB Consumer Confidence (May),,,97,2024-05-28 14:00:00
