Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,2.0,CFTC Crude Oil speculative net positions,227.6K,,247.6K,2023-01-06 20:30:00
USD,2.0,CFTC Crude Oil speculative net positions,205.2K,,227.6K,2023-01-13 20:30:00
USD,2.0,CFTC Crude Oil speculative net positions,239.2K,,205.2K,2023-01-20 20:30:00
USD,2.0,CFTC Crude Oil speculative net positions,249.8K,,239.2K,2023-01-27 20:30:00
USD,2.0,CFTC Crude Oil speculative net positions,243.8K,,249.8K,2023-02-24 20:30:00
USD,2.0,CFTC Crude Oil speculative net positions,224.2K,,243.8K,2023-03-03 20:30:00
USD,2.0,CFTC Crude Oil speculative net positions,219.7K,,224.2K,2023-03-10 20:30:00
USD,2.0,CFTC Crude Oil speculative net positions,206.9K,,219.7K,2023-03-17 20:30:00
USD,2.0,CFTC Crude Oil speculative net positions,154.3K,,206.9K,2023-03-24 20:30:00
USD,2.0,CFTC Crude Oil speculative net positions,181.1K,,154.3K,2023-03-31 20:30:00
USD,2.0,CFTC Crude Oil speculative net positions,226.1K,,181.1K,2023-04-07 20:30:00
USD,2.0,CFTC Crude Oil speculative net positions,235.6K,,226.1K,2023-04-14 20:30:00
USD,2.0,CFTC Crude Oil speculative net positions,244.6K,,235.6K,2023-04-21 20:30:00
USD,2.0,CFTC Crude Oil speculative net positions,236.4K,,244.6K,2023-04-28 20:30:00
USD,2.0,CFTC Crude Oil speculative net positions,214.8K,,236.4K,2023-05-04 20:30:00
USD,2.0,CFTC Crude Oil speculative net positions,216.6K,,214.8K,2023-05-12 20:30:00
USD,2.0,CFTC Crude Oil speculative net positions,191.5K,,216.6K,2023-05-19 20:30:00
USD,2.0,CFTC Crude Oil speculative net positions,193.1K,,191.5K,2023-05-26 20:30:00
USD,2.0,CFTC Crude Oil speculative net positions,162.6K,,193.1K,2023-06-02 20:30:00
USD,2.0,CFTC Crude Oil speculative net positions,172.4K,,162.6K,2023-06-09 20:30:00
USD,2.0,CFTC Crude Oil speculative net positions,155.1K,,172.4K,2023-06-16 20:30:00
USD,2.0,CFTC Crude Oil speculative net positions,166.5K,,155.1K,2023-06-23 20:30:00
USD,2.0,CFTC Crude Oil speculative net positions,138.4K,,166.5K,2023-06-30 20:30:00
USD,2.0,CFTC Crude Oil speculative net positions,141.4K,,138.4K,2023-07-07 20:30:00
USD,2.0,CFTC Crude Oil speculative net positions,173.4K,,141.4K,2023-07-14 20:30:00
USD,2.0,CFTC Crude Oil speculative net positions,206.1K,,173.4K,2023-07-21 20:30:00
USD,2.0,CFTC Crude Oil speculative net positions,225.2K,,206.1K,2023-07-28 20:30:00
