Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,1.0,CFTC Silver speculative net positions,30.9K,,31.0K,2023-01-06 20:30:00
USD,1.0,CFTC Silver speculative net positions,29.0K,,30.9K,2023-01-13 20:30:00
USD,1.0,CFTC Silver speculative net positions,31.5K,,29.0K,2023-01-20 20:30:00
USD,1.0,CFTC Silver speculative net positions,25.7K,,31.5K,2023-01-27 20:30:00
USD,1.0,CFTC Silver speculative net positions,27.3K,,25.7K,2023-02-24 20:30:00
USD,1.0,CFTC Silver speculative net positions,13.5K,,27.3K,2023-03-03 20:30:00
USD,1.0,CFTC Silver speculative net positions,9.9K,,13.5K,2023-03-10 20:30:00
USD,1.0,CFTC Silver speculative net positions,-7.8K,,9.9K,2023-03-17 20:30:00
USD,1.0,CFTC Silver speculative net positions,3.5K,,-7.8K,2023-03-24 20:30:00
USD,1.0,CFTC Silver speculative net positions,13.4K,,3.5K,2023-03-31 20:30:00
USD,1.0,CFTC Silver speculative net positions,21.3K,,13.4K,2023-04-07 20:30:00
USD,1.0,CFTC Silver speculative net positions,23.7K,,21.3K,2023-04-14 20:30:00
USD,1.0,CFTC Silver speculative net positions,26.6K,,23.7K,2023-04-21 20:30:00
USD,1.0,CFTC Silver speculative net positions,30.6K,,26.6K,2023-04-28 20:30:00
USD,1.0,CFTC Silver speculative net positions,32.0K,,30.6K,2023-05-04 20:30:00
USD,1.0,CFTC Silver speculative net positions,32.4K,,32.0K,2023-05-12 20:30:00
USD,1.0,CFTC Silver speculative net positions,23.8K,,32.4K,2023-05-19 20:30:00
USD,1.0,CFTC Silver speculative net positions,22.0K,,23.8K,2023-05-26 20:30:00
USD,1.0,CFTC Silver speculative net positions,21.1K,,22.0K,2023-06-02 20:30:00
USD,1.0,CFTC Silver speculative net positions,21.5K,,21.1K,2023-06-09 20:30:00
USD,1.0,CFTC Silver speculative net positions,23.7K,,21.5K,2023-06-16 20:30:00
USD,1.0,CFTC Silver speculative net positions,20.1K,,23.7K,2023-06-23 20:30:00
USD,1.0,CFTC Silver speculative net positions,19.1K,,20.1K,2023-06-30 20:30:00
USD,1.0,CFTC Silver speculative net positions,18.0K,,19.1K,2023-07-07 20:30:00
USD,1.0,CFTC Silver speculative net positions,20.3K,,18.0K,2023-07-14 20:30:00
USD,1.0,CFTC Silver speculative net positions,43.9K,,20.3K,2023-07-21 20:30:00
USD,1.0,CFTC Silver speculative net positions,36.9K,,43.9K,2023-07-28 20:30:00
USD,1.0,CFTC Silver speculative net positions,30.8K,,36.9K,2023-08-04 20:30:00
USD,1.0,CFTC Silver speculative net positions,13.3K,,30.8K,2023-08-11 20:30:00
USD,1.0,CFTC Silver speculative net positions,7.9K,,13.3K,2023-08-18 20:30:00
USD,1.0,CFTC Silver speculative net positions,12.9K,,7.9K,2023-08-25 20:30:00
USD,1.0,CFTC Silver speculative net positions,27.1K,,12.9K,2023-09-01 20:30:00
USD,1.0,CFTC Silver speculative net positions,26.8K,,27.1K,2023-09-08 20:30:00
