Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,1.0,Chicago Fed National Activity (Nov),-0.49,,-0.05,2023-01-26 13:30:00
USD,1.0,Chicago Fed National Activity (Jan),0.23,,-0.46,2023-02-23 13:30:00
USD,1.0,Chicago Fed National Activity (Feb),-0.19,,0.23,2023-03-23 12:30:00
USD,1.0,Chicago Fed National Activity (Mar),-0.19,-0.02,-0.19,2023-04-24 12:30:00
USD,1.0,Chicago Fed National Activity (Apr),0.07,-0.02,-0.37,2023-05-25 12:30:00
USD,1.0,Chicago Fed National Activity (May),-0.15,0,0.14,2023-06-22 12:30:00
USD,1.0,Chicago Fed National Activity (Jun),-0.32,0.03,-0.28,2023-07-24 12:30:00
USD,1.0,Chicago Fed National Activity (Jul),0.12,,-0.33,2023-08-24 12:30:00
USD,1.0,Chicago Fed National Activity (Aug),-0.16,,0.07,2023-09-25 12:30:00
USD,1.0,Chicago Fed National Activity (Oct),-0.49,,-0.02,2023-11-21 13:30:00
USD,1.0,Chicago Fed National Activity (Nov),0.03,,-0.66,2023-12-26 13:30:00
USD,1.0,Chicago Fed National Activity (Dec),-0.15,,0.01,2024-01-25 13:30:00
USD,1.0,Chicago Fed National Activity (Jan),-0.3,,0.02,2024-02-22 13:30:00
USD,1.0,Chicago Fed National Activity (Feb),0.05,,-0.54,2024-03-25 12:30:00
USD,1.0,Chicago Fed National Activity (Mar),0.15,0.09,0.09,2024-04-22 12:30:00
USD,1.0,Chicago Fed National Activity (Apr),,,0.15,2024-05-23 12:30:00
