Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,3.0,Chicago PMI (Jan),44.3,45,45.1,2023-01-31 14:45:00
USD,3.0,Chicago PMI (Feb),43.6,45,44.3,2023-02-28 14:45:00
USD,3.0,Chicago PMI (Mar),43.8,43.4,43.6,2023-03-31 13:45:00
USD,3.0,Chicago PMI (Apr),48.6,43.5,43.8,2023-04-28 13:45:00
USD,3.0,Chicago PMI (May),40.4,47,48.6,2023-05-31 13:45:00
USD,3.0,Chicago PMI (Jun),41.5,44,40.4,2023-06-30 13:45:00
USD,3.0,Chicago PMI (Jul),42.8,43,41.5,2023-07-31 13:45:00
USD,3.0,Chicago PMI (Aug),48.7,44.1,42.8,2023-08-31 13:45:00
USD,3.0,Chicago PMI (Sep),44.1,47.6,48.7,2023-09-29 13:45:00
USD,3.0,Chicago PMI (Oct),44,45,44.1,2023-10-31 13:45:00
USD,3.0,Chicago PMI (Nov),55.8,45.4,44,2023-11-30 14:45:00
USD,3.0,Chicago PMI (Dec),46.9,51,55.8,2023-12-28 14:45:00
USD,3.0,Chicago PMI (Jan),46,48,47.2,2024-01-31 14:45:00
USD,3.0,Chicago PMI (Feb),44,48.1,46,2024-02-29 14:45:00
USD,3.0,Chicago PMI (Mar),41.4,45.9,44,2024-03-28 13:45:00
USD,3.0,Chicago PMI (Apr),37.9,44.9,41.4,2024-04-30 13:45:00
USD,3.0,Chicago PMI (May),,,37.9,2024-05-31 13:45:00
