Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,,Continuing Jobless Claims,"1,694K","1,708K","1,718K",2023-01-05 13:30:00
USD,2.0,Continuing Jobless Claims,"1,634K","1,705K","1,697K",2023-01-12 13:30:00
USD,2.0,Continuing Jobless Claims,"1,647K","1,660K","1,630K",2023-01-19 13:30:00
USD,2.0,Continuing Jobless Claims,"1,675K","1,659K","1,655K",2023-01-26 13:30:00
USD,2.0,Continuing Jobless Claims,"1,655K","1,677K","1,666K",2023-02-02 13:30:00
USD,2.0,Continuing Jobless Claims,"1,688K","1,658K","1,650K",2023-02-09 13:30:00
USD,2.0,Continuing Jobless Claims,"1,696K","1,695K","1,680K",2023-02-16 13:30:00
USD,2.0,Continuing Jobless Claims,"1,654K","1,700K","1,691K",2023-02-23 13:30:00
USD,2.0,Continuing Jobless Claims,"1,655K","1,665K","1,660K",2023-03-02 13:30:00
USD,2.0,Continuing Jobless Claims,"1,718K","1,659K","1,649K",2023-03-09 13:30:00
USD,2.0,Continuing Jobless Claims,"1,684K","1,715K","1,713K",2023-03-16 12:30:00
USD,2.0,Continuing Jobless Claims,"1,694K","1,684K","1,680K",2023-03-23 12:30:00
USD,2.0,Continuing Jobless Claims,"1,689K","1,697K","1,685K",2023-03-30 12:30:00
USD,2.0,Continuing Jobless Claims,"1,823K","1,699K","1,817K",2023-04-06 12:30:00
USD,2.0,Continuing Jobless Claims,"1,810K","1,814K","1,823K",2023-04-13 12:30:00
USD,2.0,Continuing Jobless Claims,"1,865K","1,820K","1,804K",2023-04-20 12:30:00
USD,2.0,Continuing Jobless Claims,"1,858K","1,878K","1,861K",2023-04-27 12:30:00
USD,2.0,Continuing Jobless Claims,"1,805K","1,865K","1,843K",2023-05-04 12:30:00
USD,2.0,Continuing Jobless Claims,"1,813K","1,820K","1,801K",2023-05-11 12:30:00
USD,2.0,Continuing Jobless Claims,"1,799K","1,818K","1,807K",2023-05-18 12:30:00
USD,2.0,Continuing Jobless Claims,"1,794K","1,800K","1,799K",2023-05-25 12:30:00
USD,2.0,Continuing Jobless Claims,"1,795K","1,800K","1,789K",2023-06-01 12:30:00
USD,2.0,Continuing Jobless Claims,"1,757K","1,800K","1,794K",2023-06-08 12:30:00
USD,2.0,Continuing Jobless Claims,"1,775K","1,761K","1,755K",2023-06-15 12:30:00
USD,2.0,Continuing Jobless Claims,"1,759K","1,782K","1,772K",2023-06-22 12:30:00
USD,2.0,Continuing Jobless Claims,"1,742K","1,765K","1,761K",2023-06-29 12:30:00
USD,2.0,Continuing Jobless Claims,"1,720K","1,745K","1,733K",2023-07-06 12:30:00
USD,2.0,Continuing Jobless Claims,"1,729K","1,723K","1,718K",2023-07-13 12:30:00
USD,2.0,Continuing Jobless Claims,"1,754K","1,729K","1,721K",2023-07-20 12:30:00
USD,2.0,Continuing Jobless Claims,"1,690K","1,750K","1,749K",2023-07-27 12:30:00
USD,2.0,Continuing Jobless Claims,"1,700K","1,700K","1,679K",2023-08-03 12:30:00
USD,2.0,Continuing Jobless Claims,"1,684K","1,710K","1,692K",2023-08-10 12:30:00
USD,2.0,Continuing Jobless Claims,"1,716K","1,700K","1,684K",2023-08-17 12:30:00
USD,2.0,Continuing Jobless Claims,"1,702K","1,708K","1,711K",2023-08-24 12:30:00
USD,2.0,Continuing Jobless Claims,"1,725K","1,703K","1,697K",2023-08-31 12:30:00
USD,2.0,Continuing Jobless Claims,"1,679K","1,715K","1,719K",2023-09-07 12:30:00
USD,2.0,Continuing Jobless Claims,"1,688K","1,695K","1,684K",2023-09-14 12:30:00
USD,2.0,Continuing Jobless Claims,"1,662K","1,695K","1,683K",2023-09-21 12:30:00
USD,2.0,Continuing Jobless Claims,"1,670K","1,675K","1,658K",2023-09-28 12:30:00
USD,2.0,Continuing Jobless Claims,"1,664K","1,675K","1,665K",2023-10-05 12:30:00
USD,2.0,Continuing Jobless Claims,"1,702K","1,680K","1,672K",2023-10-12 12:30:00
USD,2.0,Continuing Jobless Claims,"1,734K","1,710K","1,705K",2023-10-19 12:30:00
USD,2.0,Continuing Jobless Claims,"1,790K","1,740K","1,727K",2023-10-26 12:30:00
USD,2.0,Continuing Jobless Claims,"1,818K","1,800K","1,783K",2023-11-02 12:30:00
USD,2.0,Continuing Jobless Claims,"1,834K","1,820K","1,812K",2023-11-09 13:30:00
USD,2.0,Continuing Jobless Claims,"1,865K","1,847K","1,833K",2023-11-16 13:30:00
USD,2.0,Continuing Jobless Claims,"1,840K",,"1,862K",2023-11-22 13:30:00
USD,2.0,Continuing Jobless Claims,"1,927K","1,872K","1,841K",2023-11-30 13:30:00
USD,2.0,Continuing Jobless Claims,"1,861K","1,910K","1,925K",2023-12-07 13:30:00
USD,2.0,Continuing Jobless Claims,"1,876K","1,887K","1,856K",2023-12-14 13:30:00
USD,2.0,Continuing Jobless Claims,"1,865K","1,888K","1,866K",2023-12-21 13:30:00
USD,2.0,Continuing Jobless Claims,"1,875K","1,875K","1,861K",2023-12-28 13:30:00
USD,2.0,Continuing Jobless Claims,"1,855K","1,883K","1,886K",2024-01-04 13:30:00
USD,2.0,Continuing Jobless Claims,"1,834K","1,871K","1,868K",2024-01-11 13:30:00
USD,2.0,Continuing Jobless Claims,"1,806K","1,845K","1,832K",2024-01-18 13:30:00
USD,2.0,Continuing Jobless Claims,"1,833K","1,828K","1,806K",2024-01-25 13:30:00
USD,2.0,Continuing Jobless Claims,"1,898K","1,840K","1,828K",2024-02-01 13:30:00
USD,2.0,Continuing Jobless Claims,"1,871K","1,878K","1,894K",2024-02-08 13:30:00
USD,2.0,Continuing Jobless Claims,"1,895K","1,880K","1,865K",2024-02-15 13:30:00
USD,2.0,Continuing Jobless Claims,"1,862K","1,885K","1,889K",2024-02-22 13:30:00
USD,2.0,Continuing Jobless Claims,"1,905K","1,874K","1,860K",2024-02-29 13:30:00
USD,2.0,Continuing Jobless Claims,"1,906K","1,889K","1,898K",2024-03-07 13:30:00
USD,2.0,Continuing Jobless Claims,"1,811K","1,900K","1,794K",2024-03-14 12:30:00
USD,2.0,Continuing Jobless Claims,"1,807K","1,820K","1,803K",2024-03-21 12:30:00
USD,2.0,Continuing Jobless Claims,"1,819K","1,815K","1,795K",2024-03-28 12:30:00
USD,2.0,Continuing Jobless Claims,"1,791K",,"1,810K",2024-04-04 12:30:00
USD,2.0,Continuing Jobless Claims,"1,817K","1,800K","1,789K",2024-04-11 12:30:00
USD,2.0,Continuing Jobless Claims,"1,812K","1,818K","1,810K",2024-04-18 12:30:00
USD,2.0,Continuing Jobless Claims,"1,781K","1,814K","1,796K",2024-04-25 12:30:00
USD,2.0,Continuing Jobless Claims,"1,774K","1,800K","1,774K",2024-05-02 12:30:00
USD,2.0,Continuing Jobless Claims,"1,785K","1,790K","1,768K",2024-05-09 12:30:00
USD,2.0,Continuing Jobless Claims,"1,794K","1,780K","1,781K",2024-05-16 12:30:00
USD,2.0,Continuing Jobless Claims,,,"1,794K",2024-05-23 12:30:00
