Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,,Crude Oil Inventories,1.694M,1.154M,0.718M,2023-01-05 16:00:00
USD,3.0,Crude Oil Inventories,18.962M,-2.243M,1.694M,2023-01-11 15:30:00
USD,1.0,Crude Oil Inventories,8.408M,-0.593M,18.962M,2023-01-19 16:00:00
USD,3.0,Crude Oil Inventories,0.533M,0.971M,8.408M,2023-01-25 15:30:00
USD,3.0,Crude Oil Inventories,4.140M,0.376M,0.533M,2023-02-01 15:30:00
USD,3.0,Crude Oil Inventories,2.423M,2.457M,4.140M,2023-02-08 15:30:00
USD,3.0,Crude Oil Inventories,16.283M,1.166M,2.423M,2023-02-15 15:30:00
USD,3.0,Crude Oil Inventories,7.648M,2.083M,16.283M,2023-02-23 16:00:00
USD,3.0,Crude Oil Inventories,1.165M,0.457M,7.648M,2023-03-01 15:30:00
USD,3.0,Crude Oil Inventories,-1.694M,0.395M,1.165M,2023-03-08 15:30:00
USD,3.0,Crude Oil Inventories,1.550M,1.188M,-1.694M,2023-03-15 14:30:00
USD,3.0,Crude Oil Inventories,1.117M,-1.565M,1.550M,2023-03-22 14:30:00
USD,3.0,Crude Oil Inventories,-7.489M,0.092M,1.117M,2023-03-29 14:30:00
USD,3.0,Crude Oil Inventories,-3.739M,-2.329M,-7.489M,2023-04-05 14:30:00
USD,3.0,Crude Oil Inventories,0.597M,-0.583M,-3.739M,2023-04-12 14:30:00
USD,3.0,Crude Oil Inventories,-4.581M,-1.088M,0.597M,2023-04-19 14:30:00
USD,3.0,Crude Oil Inventories,-5.054M,-1.486M,-4.581M,2023-04-26 14:30:00
USD,3.0,Crude Oil Inventories,-1.280M,-1.100M,-5.054M,2023-05-03 14:30:00
USD,3.0,Crude Oil Inventories,2.951M,-0.917M,-1.280M,2023-05-10 14:30:00
USD,3.0,Crude Oil Inventories,5.040M,-0.920M,2.951M,2023-05-17 14:30:00
USD,3.0,Crude Oil Inventories,-12.456M,-0.920M,5.040M,2023-05-24 14:30:00
USD,3.0,Crude Oil Inventories,4.488M,-1.101M,-12.456M,2023-06-01 15:00:00
USD,3.0,Crude Oil Inventories,-0.451M,1.022M,4.488M,2023-06-07 14:30:00
USD,3.0,Crude Oil Inventories,7.919M,1.482M,-0.451M,2023-06-14 14:30:00
USD,3.0,Crude Oil Inventories,-3.831M,0.329M,7.919M,2023-06-22 15:00:00
USD,3.0,Crude Oil Inventories,-9.603M,-1.757M,-3.831M,2023-06-28 14:30:00
USD,3.0,Crude Oil Inventories,-1.508M,-0.983M,-9.603M,2023-07-06 15:00:00
