Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,3.0,Durable Goods Orders (MoM) (Dec),5.60%,2.50%,-1.70%,2023-01-26 13:30:00
USD,3.0,Durable Goods Orders (MoM) (Jan),-4.50%,-4.00%,5.10%,2023-02-27 13:30:00
USD,3.0,Durable Goods Orders (MoM) (Feb),-1.00%,0.60%,-5.00%,2023-03-24 12:30:00
USD,3.0,Durable Goods Orders (MoM) (Mar),3.20%,0.70%,-1.20%,2023-04-26 12:30:00
USD,3.0,Durable Goods Orders (MoM) (Apr),1.10%,-1.00%,3.30%,2023-05-26 12:30:00
USD,3.0,Durable Goods Orders (MoM) (May),1.70%,-1.00%,1.20%,2023-06-27 12:30:00
USD,3.0,Durable Goods Orders (MoM) (Jun),4.70%,1.00%,2.00%,2023-07-27 12:30:00
USD,3.0,Durable Goods Orders (MoM) (Jul),-5.20%,-4.00%,4.40%,2023-08-24 12:30:00
USD,3.0,Durable Goods Orders (MoM) (Aug),0.20%,-0.50%,-5.60%,2023-09-27 12:30:00
USD,3.0,Durable Goods Orders (MoM) (Sep),4.70%,1.70%,-0.10%,2023-10-26 12:30:00
USD,3.0,Durable Goods Orders (MoM) (Oct),-5.40%,-3.10%,4.00%,2023-11-22 13:30:00
USD,3.0,Durable Goods Orders (MoM) (Nov),5.40%,1.70%,-5.10%,2023-12-22 13:30:00
USD,3.0,Durable Goods Orders (MoM) (Dec),0.00%,1.10%,5.50%,2024-01-25 13:30:00
USD,3.0,Durable Goods Orders (MoM) (Jan),-6.10%,-4.90%,-0.30%,2024-02-27 13:30:00
USD,3.0,Durable Goods Orders (MoM) (Feb),1.40%,1.20%,-6.90%,2024-03-26 12:30:00
USD,3.0,Durable Goods Orders (MoM) (Mar),2.60%,2.50%,0.70%,2024-04-24 12:30:00
USD,3.0,Durable Goods Orders (MoM) (Apr),,0.50%,2.60%,2024-05-24 12:30:00
