Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,,EIA Weekly Distillates Stocks,-1.427M,-0.396M,0.282M,2023-01-05 16:00:00
USD,1.0,EIA Weekly Distillates Stocks,-1.069M,-0.472M,-1.427M,2023-01-11 15:30:00
USD,1.0,EIA Weekly Distillates Stocks,-1.939M,0.122M,-1.069M,2023-01-19 16:00:00
USD,1.0,EIA Weekly Distillates Stocks,-0.507M,-1.121M,-1.939M,2023-01-25 15:30:00
USD,1.0,EIA Weekly Distillates Stocks,2.320M,-1.300M,-0.507M,2023-02-01 15:30:00
USD,1.0,EIA Weekly Distillates Stocks,2.932M,0.097M,2.320M,2023-02-08 15:30:00
USD,1.0,EIA Weekly Distillates Stocks,-1.285M,0.447M,2.932M,2023-02-15 15:30:00
USD,1.0,EIA Weekly Distillates Stocks,2.698M,-1.126M,-1.285M,2023-02-23 16:00:00
USD,1.0,EIA Weekly Distillates Stocks,0.179M,-0.462M,2.698M,2023-03-01 15:30:00
USD,1.0,EIA Weekly Distillates Stocks,0.138M,-1.038M,0.179M,2023-03-08 15:30:00
USD,1.0,EIA Weekly Distillates Stocks,-2.537M,-1.172M,0.138M,2023-03-15 14:30:00
USD,1.0,EIA Weekly Distillates Stocks,-3.313M,-1.500M,-2.537M,2023-03-22 14:30:00
USD,1.0,EIA Weekly Distillates Stocks,0.281M,-1.455M,-3.313M,2023-03-29 14:30:00
USD,1.0,EIA Weekly Distillates Stocks,-3.632M,-0.396M,0.281M,2023-04-05 14:30:00
USD,1.0,EIA Weekly Distillates Stocks,-0.606M,-0.764M,-3.632M,2023-04-12 14:30:00
USD,1.0,EIA Weekly Distillates Stocks,-0.356M,-0.927M,-0.606M,2023-04-19 14:30:00
USD,1.0,EIA Weekly Distillates Stocks,-0.576M,-0.839M,-0.356M,2023-04-26 14:30:00
USD,1.0,EIA Weekly Distillates Stocks,-1.191M,-1.084M,-0.576M,2023-05-03 14:30:00
USD,1.0,EIA Weekly Distillates Stocks,-4.170M,-0.808M,-1.191M,2023-05-10 14:30:00
USD,1.0,EIA Weekly Distillates Stocks,0.080M,0.057M,-4.170M,2023-05-17 14:30:00
USD,1.0,EIA Weekly Distillates Stocks,-0.562M,0.057M,0.080M,2023-05-24 14:30:00
USD,1.0,EIA Weekly Distillates Stocks,0.985M,-0.118M,-0.562M,2023-06-01 15:00:00
USD,1.0,EIA Weekly Distillates Stocks,5.075M,1.328M,0.985M,2023-06-07 14:30:00
USD,1.0,EIA Weekly Distillates Stocks,2.123M,0.922M,5.075M,2023-06-14 14:30:00
USD,1.0,EIA Weekly Distillates Stocks,0.433M,-0.001M,2.123M,2023-06-22 15:00:00
USD,1.0,EIA Weekly Distillates Stocks,0.124M,0.782M,0.433M,2023-06-28 14:30:00
USD,1.0,EIA Weekly Distillates Stocks,-1.045M,0.296M,0.124M,2023-07-06 15:00:00
USD,1.0,EIA Weekly Distillates Stocks,4.815M,-0.262M,-1.045M,2023-07-12 14:30:00
USD,1.0,EIA Weekly Distillates Stocks,0.014M,0.460M,4.815M,2023-07-19 14:30:00
USD,1.0,EIA Weekly Distillates Stocks,-0.245M,-0.301M,0.014M,2023-07-26 14:30:00
USD,1.0,EIA Weekly Distillates Stocks,-0.796M,0.112M,-0.245M,2023-08-02 14:30:00
USD,1.0,EIA Weekly Distillates Stocks,-1.706M,0.006M,-0.796M,2023-08-09 14:30:00
USD,1.0,EIA Weekly Distillates Stocks,0.296M,-0.473M,-1.706M,2023-08-16 14:30:00
USD,1.0,EIA Weekly Distillates Stocks,0.945M,0.218M,0.296M,2023-08-23 14:30:00
USD,1.0,EIA Weekly Distillates Stocks,1.235M,0.189M,0.945M,2023-08-30 14:30:00
USD,1.0,EIA Weekly Distillates Stocks,0.679M,0.239M,1.235M,2023-09-07 15:00:00
USD,1.0,EIA Weekly Distillates Stocks,3.931M,1.303M,0.679M,2023-09-13 14:30:00
USD,1.0,EIA Weekly Distillates Stocks,-2.867M,0.217M,3.931M,2023-09-20 14:30:00
USD,1.0,EIA Weekly Distillates Stocks,0.398M,-1.298M,-2.867M,2023-09-27 14:30:00
USD,1.0,EIA Weekly Distillates Stocks,-1.269M,-0.333M,0.398M,2023-10-04 14:30:00
USD,1.0,EIA Weekly Distillates Stocks,-1.837M,-0.802M,-1.269M,2023-10-12 15:00:00
USD,1.0,EIA Weekly Distillates Stocks,-3.185M,-1.360M,-1.837M,2023-10-18 14:30:00
USD,1.0,EIA Weekly Distillates Stocks,-1.686M,-1.168M,-3.185M,2023-10-25 14:30:00
USD,1.0,EIA Weekly Distillates Stocks,-0.792M,-1.540M,-1.686M,2023-11-01 14:30:00
USD,1.0,EIA Weekly Distillates Stocks,-3.294M,,-0.792M,2023-11-15 15:29:00
USD,1.0,EIA Weekly Distillates Stocks,-1.400M,-1.242M,-3.294M,2023-11-15 15:30:00
USD,1.0,EIA Weekly Distillates Stocks,-1.018M,-0.761M,-1.422M,2023-11-22 15:30:00
USD,1.0,EIA Weekly Distillates Stocks,5.217M,-0.394M,-1.018M,2023-11-29 15:30:00
USD,1.0,EIA Weekly Distillates Stocks,1.267M,1.526M,5.217M,2023-12-06 15:30:00
USD,1.0,EIA Weekly Distillates Stocks,1.494M,0.623M,1.267M,2023-12-13 15:30:00
USD,1.0,EIA Weekly Distillates Stocks,1.485M,0.496M,1.494M,2023-12-20 15:30:00
USD,1.0,EIA Weekly Distillates Stocks,0.741M,0.600M,1.485M,2023-12-28 16:00:00
USD,1.0,EIA Weekly Distillates Stocks,10.090M,0.588M,0.741M,2024-01-04 16:00:00
USD,1.0,EIA Weekly Distillates Stocks,6.528M,2.382M,10.090M,2024-01-10 15:30:00
USD,1.0,EIA Weekly Distillates Stocks,2.370M,0.880M,6.528M,2024-01-18 16:00:00
USD,1.0,EIA Weekly Distillates Stocks,-1.417M,0.348M,2.370M,2024-01-24 15:30:00
USD,1.0,EIA Weekly Distillates Stocks,-2.542M,-0.425M,-1.417M,2024-01-31 15:30:00
USD,1.0,EIA Weekly Distillates Stocks,-3.221M,-1.000M,-2.542M,2024-02-07 15:30:00
USD,1.0,EIA Weekly Distillates Stocks,-1.915M,-1.600M,-3.220M,2024-02-14 15:30:00
USD,1.0,EIA Weekly Distillates Stocks,-4.009M,-1.739M,-1.915M,2024-02-22 16:00:00
USD,1.0,EIA Weekly Distillates Stocks,-0.510M,-2.140M,-4.009M,2024-02-28 15:30:00
USD,1.0,EIA Weekly Distillates Stocks,-4.131M,-1.000M,-0.510M,2024-03-06 15:30:00
USD,1.0,EIA Weekly Distillates Stocks,0.888M,-0.150M,-4.131M,2024-03-13 14:30:00
USD,1.0,EIA Weekly Distillates Stocks,0.624M,-0.087M,0.888M,2024-03-20 14:30:00
USD,1.0,EIA Weekly Distillates Stocks,-1.185M,0.518M,0.624M,2024-03-27 14:30:00
USD,1.0,EIA Weekly Distillates Stocks,-1.268M,-0.604M,-1.185M,2024-04-03 14:30:00
USD,1.0,EIA Weekly Distillates Stocks,1.659M,-1.153M,-1.268M,2024-04-10 14:30:00
USD,1.0,EIA Weekly Distillates Stocks,-2.760M,,1.659M,2024-04-17 14:30:00
USD,1.0,EIA Weekly Distillates Stocks,1.614M,-0.900M,-2.760M,2024-04-24 14:30:00
USD,1.0,EIA Weekly Distillates Stocks,-0.732M,,1.614M,2024-05-01 14:30:00
USD,1.0,EIA Weekly Distillates Stocks,0.560M,-1.000M,-0.732M,2024-05-08 14:30:00
USD,1.0,EIA Weekly Distillates Stocks,-0.045M,0.770M,0.560M,2024-05-15 14:30:00
USD,1.0,EIA Weekly Distillates Stocks,,,-0.045M,2024-05-22 14:30:00
