Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,,EIA Weekly Refinery Utilization Rates (WoW),-12.40%,-2.90%,1.10%,2023-01-05 16:00:00
USD,1.0,EIA Weekly Refinery Utilization Rates (WoW),4.50%,6.10%,-12.40%,2023-01-11 15:30:00
USD,1.0,EIA Weekly Refinery Utilization Rates (WoW),1.20%,3.80%,4.50%,2023-01-19 16:00:00
USD,1.0,EIA Weekly Refinery Utilization Rates (WoW),0.80%,1.20%,1.20%,2023-01-25 15:30:00
USD,1.0,EIA Weekly Refinery Utilization Rates (WoW),-0.40%,0.50%,0.80%,2023-02-01 15:30:00
USD,1.0,EIA Weekly Refinery Utilization Rates (WoW),2.20%,0.70%,-0.40%,2023-02-08 15:30:00
USD,1.0,EIA Weekly Refinery Utilization Rates (WoW),-1.40%,0.30%,2.20%,2023-02-15 15:30:00
USD,1.0,EIA Weekly Refinery Utilization Rates (WoW),-0.60%,-0.20%,-1.40%,2023-02-23 16:00:00
USD,1.0,EIA Weekly Refinery Utilization Rates (WoW),-0.10%,-0.40%,-0.60%,2023-03-01 15:30:00
USD,1.0,EIA Weekly Refinery Utilization Rates (WoW),0.20%,-0.30%,-0.10%,2023-03-08 15:30:00
USD,1.0,EIA Weekly Refinery Utilization Rates (WoW),2.20%,0.30%,0.20%,2023-03-15 14:30:00
USD,1.0,EIA Weekly Refinery Utilization Rates (WoW),0.40%,1.00%,2.20%,2023-03-22 14:30:00
USD,1.0,EIA Weekly Refinery Utilization Rates (WoW),1.70%,0.60%,0.40%,2023-03-29 14:30:00
USD,1.0,EIA Weekly Refinery Utilization Rates (WoW),-0.70%,0.30%,1.70%,2023-04-05 14:30:00
USD,1.0,EIA Weekly Refinery Utilization Rates (WoW),-0.30%,0.50%,-0.70%,2023-04-12 14:30:00
USD,1.0,EIA Weekly Refinery Utilization Rates (WoW),1.70%,0.50%,-0.30%,2023-04-19 14:30:00
USD,1.0,EIA Weekly Refinery Utilization Rates (WoW),0.30%,0.30%,1.70%,2023-04-26 14:30:00
USD,1.0,EIA Weekly Refinery Utilization Rates (WoW),-0.60%,0.30%,0.30%,2023-05-03 14:30:00
USD,1.0,EIA Weekly Refinery Utilization Rates (WoW),0.30%,0.70%,-0.60%,2023-05-10 14:30:00
