Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,2.0,Existing Home Sales (MoM) (Dec),-1.50%,-5.40%,-7.90%,2023-01-20 15:00:00
USD,2.0,Existing Home Sales (MoM) (Jan),-0.70%,2.00%,-2.20%,2023-02-21 15:00:00
USD,2.0,Existing Home Sales (MoM) (Feb),14.50%,5.00%,-0.70%,2023-03-21 14:00:00
USD,2.0,Existing Home Sales (MoM) (Mar),-2.40%,5.00%,13.80%,2023-04-20 14:00:00
USD,2.0,Existing Home Sales (MoM) (Apr),-3.40%,0.10%,-2.60%,2023-05-18 14:00:00
USD,2.0,Existing Home Sales (MoM) (May),0.20%,,-3.20%,2023-06-22 14:00:00
USD,2.0,Existing Home Sales (MoM) (Jun),-3.30%,,0.20%,2023-07-20 14:00:00
USD,2.0,Existing Home Sales (MoM) (Jul),-2.20%,,-3.30%,2023-08-22 14:00:00
USD,2.0,Existing Home Sales (MoM) (Aug),-0.70%,,-2.20%,2023-09-21 14:00:00
USD,2.0,Existing Home Sales (MoM) (Sep),-2.00%,,-0.70%,2023-10-19 14:00:00
USD,2.0,Existing Home Sales (MoM) (Oct),-4.10%,,-2.20%,2023-11-21 15:00:00
USD,2.0,Existing Home Sales (MoM) (Nov),0.80%,,-4.10%,2023-12-20 15:00:00
USD,2.0,Existing Home Sales (MoM) (Jan),3.10%,,-0.80%,2024-02-22 15:00:00
USD,2.0,Existing Home Sales (MoM) (Feb),9.50%,-1.30%,3.10%,2024-03-21 14:00:00
USD,2.0,Existing Home Sales (MoM) (Mar),-4.30%,,9.50%,2024-04-18 14:00:00
USD,2.0,Existing Home Sales (MoM) (Apr),,,-4.30%,2024-05-22 14:00:00
