Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,1.0,FOMC Member Barkin Speaks,,,,2023-01-06 17:15:00
USD,1.0,FOMC Member Barkin Speaks,,,,2023-02-17 13:30:00
USD,1.0,FOMC Member Barkin Speaks,,,,2023-03-03 21:45:00
USD,1.0,FOMC Member Barkin Speaks,,,,2023-03-30 16:45:00
USD,1.0,FOMC Member Barkin Speaks,,,,2023-05-15 16:30:00
USD,1.0,FOMC Member Barkin Speaks,,,,2023-05-22 14:50:00
USD,1.0,FOMC Member Barkin Speaks,,,,2023-06-22 20:30:00
USD,1.0,FOMC Member Barkin Speaks,,,,2023-08-08 12:30:00
USD,1.0,FOMC Member Barkin Speaks,,,,2023-08-22 11:30:00
USD,1.0,FOMC Member Barkin Speaks,,,,2023-10-05 15:30:00
USD,1.0,FOMC Member Barkin Speaks,,,,2023-10-17 14:45:00
USD,1.0,FOMC Member Barkin Speaks,,,,2023-11-09 16:00:00
USD,1.0,FOMC Member Barkin Speaks,,,,2023-11-15 20:30:00
USD,1.0,FOMC Member Barkin Speaks,,,,2024-01-03 13:30:00
USD,1.0,FOMC Member Barkin Speaks,,,,2024-01-05 18:30:00
USD,1.0,FOMC Member Barkin Speaks,,,,2024-01-11 17:40:00
USD,1.0,FOMC Member Barkin Speaks,,,,2024-02-07 17:30:00
USD,1.0,FOMC Member Barkin Speaks,,,,2024-02-08 13:30:00
USD,1.0,FOMC Member Barkin Speaks,,,,2024-02-08 17:05:00
USD,1.0,FOMC Member Barkin Speaks,,,,2024-02-12 17:00:00
USD,1.0,FOMC Member Barkin Speaks,,,,2024-02-16 13:00:00
USD,1.0,FOMC Member Barkin Speaks,,,,2024-04-04 16:15:00
USD,1.0,FOMC Member Barkin Speaks,,,,2024-04-05 13:15:00
USD,1.0,FOMC Member Barkin Speaks,,,,2024-04-10 16:45:00
USD,1.0,FOMC Member Barkin Speaks,,,,2024-04-11 14:00:00
USD,1.0,FOMC Member Barkin Speaks,,,,2024-04-16 17:00:00
USD,1.0,FOMC Member Barkin Speaks,,,,2024-05-06 16:50:00
USD,1.0,FOMC Member Barkin Speaks,,,,2024-05-21 13:00:00
