Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,3.0,FOMC Press Conference,,,,2023-02-01 19:30:00
USD,3.0,FOMC Press Conference,,,,2023-03-22 18:30:00
USD,3.0,FOMC Press Conference,,,,2023-05-03 18:30:00
USD,3.0,FOMC Press Conference,,,,2023-06-14 18:30:00
USD,3.0,FOMC Press Conference,,,,2023-07-26 18:30:00
USD,3.0,FOMC Press Conference,,,,2023-09-20 18:30:00
USD,3.0,FOMC Press Conference,,,,2023-11-01 18:30:00
USD,3.0,FOMC Press Conference,,,,2023-12-13 19:30:00
USD,3.0,FOMC Press Conference,,,,2024-02-01 19:30:00
USD,3.0,FOMC Press Conference,,,,2024-03-20 18:30:00
USD,3.0,FOMC Press Conference,,,,2024-05-01 18:30:00
