Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,1.0,Fed Governor Cook Speaks,,,,2023-01-06 16:15:00
USD,1.0,Fed Governor Cook Speaks,,,,2023-02-16 21:00:00
USD,1.0,Fed Governor Cook Speaks,,,,2023-03-31 21:45:00
USD,1.0,Fed Governor Cook Speaks,,,,2023-04-03 20:15:00
USD,1.0,Fed Governor Cook Speaks,,,,2023-04-04 17:30:00
USD,1.0,Fed Governor Cook Speaks,,,,2023-04-21 20:35:00
USD,1.0,Fed Governor Cook Speaks,,,,2023-05-04 17:00:00
USD,,Fed Governor Cook Speaks,,,,2023-05-13 14:30:00
USD,1.0,Fed Governor Cook Speaks,,,,2023-05-15 21:00:00
USD,1.0,Fed Governor Cook Speaks,,,,2023-09-22 12:50:00
USD,1.0,Fed Governor Cook Speaks,,,,2023-09-28 17:00:00
USD,1.0,Fed Governor Cook Speaks,,,,2023-10-18 22:55:00
USD,1.0,Fed Governor Cook Speaks,,,,2023-11-06 16:00:00
USD,1.0,Fed Governor Cook Speaks,,,,2023-11-08 10:15:00
USD,1.0,Fed Governor Cook Speaks,,,,2023-11-13 13:50:00
USD,1.0,Fed Governor Cook Speaks,,,,2023-11-16 11:00:00
USD,1.0,Fed Governor Cook Speaks,,,,2023-11-16 17:00:00
USD,1.0,Fed Governor Cook Speaks,,,,2023-12-01 19:00:00
USD,1.0,Fed Governor Cook Speaks,,,,2024-02-22 22:00:00
USD,1.0,Fed Governor Cook Speaks,,,,2024-03-25 14:30:00
USD,1.0,Fed Governor Cook Speaks,,,,2024-04-01 22:50:00
USD,1.0,Fed Governor Cook Speaks,,,,2024-05-04 13:20:00
USD,1.0,Fed Governor Cook Speaks,,,,2024-05-04 18:20:00
USD,1.0,Fed Governor Cook Speaks,,,,2024-05-08 17:30:00
USD,1.0,Fed Governor Cook Speaks,,,,2024-05-14 13:10:00
