Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,1.0,Fed Logan Speaks,,,,2023-01-18 23:00:00
USD,1.0,Fed Logan Speaks,,,,2023-02-14 16:00:00
USD,1.0,Fed Logan Speaks,,,,2023-03-03 16:00:00
USD,1.0,Fed Logan Speaks,,,,2023-05-16 19:15:00
USD,1.0,Fed Logan Speaks,,,,2023-05-18 14:00:00
USD,1.0,Fed Logan Speaks,,,,2023-05-22 13:00:00
USD,1.0,Fed Logan Speaks,,,,2023-05-23 13:00:00
USD,1.0,Fed Logan Speaks,,,,2023-07-06 12:45:00
USD,1.0,Fed Logan Speaks,,,,2023-09-06 19:00:00
USD,1.0,Fed Logan Speaks,,,,2023-09-07 23:05:00
USD,1.0,Fed Logan Speaks,,,,2023-10-09 13:00:00
USD,1.0,Fed Logan Speaks,,,,2023-10-19 23:00:00
USD,1.0,Fed Logan Speaks,,,,2023-11-07 18:30:00
USD,1.0,Fed Logan Speaks,,,,2023-11-10 12:30:00
USD,1.0,Fed Logan Speaks,,,,2024-02-09 18:30:00
USD,1.0,Fed Logan Speaks,,,,2024-03-01 15:15:00
USD,1.0,Fed Logan Speaks,,,,2024-04-15 06:30:00
