Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,,Gasoline Inventories,-0.346M,-0.486M,-3.105M,2023-01-05 16:00:00
USD,1.0,Gasoline Inventories,4.114M,1.186M,-0.346M,2023-01-11 15:30:00
USD,1.0,Gasoline Inventories,3.483M,2.529M,4.114M,2023-01-19 16:00:00
USD,1.0,Gasoline Inventories,1.763M,1.767M,3.483M,2023-01-25 15:30:00
USD,1.0,Gasoline Inventories,2.576M,1.442M,1.763M,2023-02-01 15:30:00
USD,1.0,Gasoline Inventories,5.008M,1.271M,2.576M,2023-02-08 15:30:00
USD,1.0,Gasoline Inventories,2.317M,1.543M,5.008M,2023-02-15 15:30:00
USD,1.0,Gasoline Inventories,-1.856M,0.108M,2.317M,2023-02-23 16:00:00
USD,1.0,Gasoline Inventories,-0.874M,0.464M,-1.856M,2023-03-01 15:30:00
USD,1.0,Gasoline Inventories,-1.134M,-1.863M,-0.874M,2023-03-08 15:30:00
USD,1.0,Gasoline Inventories,-2.061M,-1.820M,-1.134M,2023-03-15 14:30:00
USD,1.0,Gasoline Inventories,-6.400M,-1.677M,-2.061M,2023-03-22 14:30:00
USD,1.0,Gasoline Inventories,-2.904M,-1.617M,-6.400M,2023-03-29 14:30:00
USD,1.0,Gasoline Inventories,-4.119M,-1.729M,-2.904M,2023-04-05 14:30:00
USD,1.0,Gasoline Inventories,-0.331M,-1.600M,-4.119M,2023-04-12 14:30:00
USD,1.0,Gasoline Inventories,1.300M,-1.267M,-0.331M,2023-04-19 14:30:00
USD,1.0,Gasoline Inventories,-2.408M,-0.933M,1.300M,2023-04-26 14:30:00
USD,1.0,Gasoline Inventories,1.743M,-1.157M,-2.408M,2023-05-03 14:30:00
USD,1.0,Gasoline Inventories,-3.168M,-1.233M,1.743M,2023-05-10 14:30:00
USD,1.0,Gasoline Inventories,-1.381M,-1.060M,-3.168M,2023-05-17 14:30:00
USD,1.0,Gasoline Inventories,-2.053M,-0.695M,-1.381M,2023-05-24 14:30:00
USD,1.0,Gasoline Inventories,-0.207M,-0.369M,-2.053M,2023-06-01 15:00:00
USD,1.0,Gasoline Inventories,2.746M,0.880M,-0.207M,2023-06-07 14:30:00
