Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,1.0,Government Payrolls (Dec),3.0K,,54.0K,2023-01-06 13:30:00
USD,1.0,Government Payrolls (Jan),74.0K,,-9.0K,2023-02-03 13:30:00
USD,1.0,Government Payrolls (Feb),46.0K,,118.0K,2023-03-10 13:30:00
USD,1.0,Government Payrolls (Mar),47.0K,2.0K,60.0K,2023-04-07 12:30:00
USD,1.0,Government Payrolls (Apr),23.0K,-8.0K,42.0K,2023-05-04 12:30:00
USD,1.0,Government Payrolls (May),56.0K,,41.0K,2023-06-02 12:30:00
USD,1.0,Government Payrolls (Jun),60.0K,7.0K,47.0K,2023-07-07 12:30:00
USD,1.0,Government Payrolls (Jul),15.0K,,57.0K,2023-08-04 12:30:00
USD,1.0,Government Payrolls (Aug),8.0K,-2.0K,2.0K,2023-09-01 12:30:00
USD,1.0,Government Payrolls (Sep),73.0K,,50.0K,2023-10-06 12:30:00
USD,1.0,Government Payrolls (Oct),51.0K,29.0K,51.0K,2023-11-03 12:30:00
USD,1.0,Government Payrolls (Nov),49.0K,,65.0K,2023-12-08 13:30:00
USD,1.0,Government Payrolls (Dec),52.0K,,37.0K,2024-01-05 13:30:00
USD,1.0,Government Payrolls (Jan),36.0K,,55.0K,2024-02-02 13:30:00
USD,1.0,Government Payrolls (Feb),52.0K,,52.0K,2024-03-08 13:30:00
USD,1.0,Government Payrolls (Mar),71.0K,,63.0K,2024-04-05 12:30:00
USD,1.0,Government Payrolls (Apr),8.0K,,72.0K,2024-05-03 12:30:00
USD,1.0,Government Payrolls (May),,,8.0K,2024-06-07 12:30:00
