Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,2.0,IEA Monthly Report,,,,2023-01-18 09:00:00
USD,2.0,IEA Monthly Report,,,,2023-02-15 09:00:00
USD,2.0,IEA Monthly Report,,,,2023-03-15 09:00:00
USD,2.0,IEA Monthly Report,,,,2023-04-14 08:00:00
USD,2.0,IEA Monthly Report,,,,2023-05-16 08:00:00
USD,2.0,IEA Monthly Report,,,,2023-06-14 08:00:00
USD,2.0,IEA Monthly Report,,,,2023-07-13 08:00:00
USD,2.0,IEA Monthly Report,,,,2023-08-11 08:00:00
USD,2.0,IEA Monthly Report,,,,2023-09-13 08:00:00
USD,2.0,IEA Monthly Report,,,,2023-10-12 08:00:00
USD,2.0,IEA Monthly Report,,,,2023-11-14 09:00:00
USD,2.0,IEA Monthly Report,,,,2023-12-14 09:00:00
USD,2.0,IEA Monthly Report,,,,2024-01-18 09:00:00
USD,2.0,IEA Monthly Report,,,,2024-02-15 09:00:00
USD,2.0,IEA Monthly Report,,,,2024-03-14 09:00:00
USD,2.0,IEA Monthly Report,,,,2024-04-11 08:00:00
USD,2.0,IEA Monthly Report,,,,2024-05-15 08:00:00
