Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,1.0,IMF Meetings,,,,2023-04-10 15:00:00
USD,1.0,IMF Meetings,,,,2023-04-11 15:00:00
USD,1.0,IMF Meetings,,,,2023-04-12 15:00:00
USD,1.0,IMF Meetings,,,,2023-04-13 15:00:00
USD,1.0,IMF Meetings,,,,2023-04-14 15:00:00
USD,1.0,IMF Meetings,,,,2023-04-15 15:00:00
USD,1.0,IMF Meetings,,,,2023-04-16 15:00:00
USD,1.0,IMF Meetings,,,,2023-10-09 10:00:00
USD,1.0,IMF Meetings,,,,2023-10-10 10:00:00
USD,1.0,IMF Meetings,,,,2023-10-11 10:00:00
USD,1.0,IMF Meetings,,,,2023-10-12 10:00:00
USD,1.0,IMF Meetings,,,,2023-10-13 10:00:00
USD,1.0,IMF Meetings,,,,2023-10-14 10:00:00
USD,1.0,IMF Meetings,,,,2023-10-15 10:00:00
USD,1.0,IMF Meetings,,,,2024-01-30 13:00:00
USD,1.0,IMF Meetings,,,,2024-04-15 09:00:00
USD,1.0,IMF Meetings,,,,2024-04-16 09:00:00
USD,1.0,IMF Meetings,,,,2024-04-17 09:00:00
USD,1.0,IMF Meetings,,,,2024-04-18 09:00:00
USD,1.0,IMF Meetings,,,,2024-04-19 09:00:00
USD,1.0,IMF Meetings,,,,2024-04-20 09:00:00
