Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,2.0,Industrial Production (MoM) (Dec),-0.70%,-0.10%,-0.60%,2023-01-18 14:15:00
USD,2.0,Industrial Production (MoM) (Jan),0.00%,0.50%,-1.00%,2023-02-15 14:15:00
USD,2.0,Industrial Production (MoM) (Feb),0.00%,0.20%,0.30%,2023-03-17 13:15:00
USD,2.0,Industrial Production (MoM) (Mar),0.40%,0.20%,0.20%,2023-04-14 13:15:00
USD,2.0,Industrial Production (MoM) (Apr),0.50%,-0.10%,0.00%,2023-05-16 13:15:00
USD,2.0,Industrial Production (MoM) (May),-0.20%,0.10%,0.50%,2023-06-15 13:15:00
USD,2.0,Industrial Production (MoM) (Jun),-0.50%,0.00%,-0.50%,2023-07-18 13:15:00
USD,2.0,Industrial Production (MoM) (Jul),1.00%,0.30%,-0.80%,2023-08-16 13:15:00
USD,2.0,Industrial Production (MoM) (Aug),0.40%,0.10%,0.70%,2023-09-15 13:15:00
USD,2.0,Industrial Production (MoM) (Sep),0.30%,0.10%,0.00%,2023-10-17 13:15:00
USD,2.0,Industrial Production (MoM) (Oct),-0.60%,-0.30%,0.10%,2023-11-16 14:15:00
USD,2.0,Industrial Production (MoM) (Nov),0.20%,0.30%,-0.90%,2023-12-15 14:15:00
USD,2.0,Industrial Production (MoM) (Dec),0.10%,0.00%,0.00%,2024-01-17 14:15:00
USD,2.0,Industrial Production (MoM) (Jan),-0.10%,0.20%,0.10%,2024-02-15 14:15:00
USD,2.0,Industrial Production (MoM) (Feb),0.10%,0.00%,-0.50%,2024-03-15 13:15:00
USD,2.0,Industrial Production (MoM) (Mar),0.40%,0.40%,0.40%,2024-04-16 13:15:00
USD,2.0,Industrial Production (MoM) (Apr),0.00%,0.10%,0.10%,2024-05-16 13:15:00
