Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,2.0,Michigan 5-Year Inflation Expectations (Jan),3.00%,,2.90%,2023-01-13 15:00:00
USD,2.0,Michigan 5-Year Inflation Expectations (Jan),2.90%,3.00%,2.90%,2023-01-27 15:00:00
USD,2.0,Michigan 5-Year Inflation Expectations (Feb),2.90%,2.90%,2.90%,2023-02-10 15:00:00
USD,2.0,Michigan 5-Year Inflation Expectations (Feb),2.90%,2.90%,2.90%,2023-02-24 15:00:00
USD,2.0,Michigan 5-Year Inflation Expectations (Mar),2.80%,,2.90%,2023-03-17 14:00:00
USD,2.0,Michigan 5-Year Inflation Expectations (Mar),2.90%,2.80%,2.90%,2023-03-31 14:00:00
USD,2.0,Michigan 5-Year Inflation Expectations (Apr),2.90%,2.80%,2.90%,2023-04-14 14:00:00
USD,2.0,Michigan 5-Year Inflation Expectations (Apr),3.00%,,2.90%,2023-04-28 14:00:00
USD,2.0,Michigan 5-Year Inflation Expectations (May),3.20%,2.90%,3.00%,2023-05-12 14:00:00
USD,2.0,Michigan 5-Year Inflation Expectations (May),3.10%,3.20%,3.00%,2023-05-26 14:00:00
USD,2.0,Michigan 5-Year Inflation Expectations (Jun),3.00%,3.10%,3.10%,2023-06-16 14:00:00
USD,2.0,Michigan 5-Year Inflation Expectations (Jun),3.00%,3.00%,3.10%,2023-06-30 14:00:00
USD,2.0,Michigan 5-Year Inflation Expectations (Jul),3.10%,3.10%,3.00%,2023-07-14 14:00:00
USD,2.0,Michigan 5-Year Inflation Expectations (Jul),3.00%,3.10%,3.00%,2023-07-28 14:00:00
USD,2.0,Michigan 5-Year Inflation Expectations (Aug),2.90%,3.00%,3.00%,2023-08-11 14:00:00
USD,2.0,Michigan 5-Year Inflation Expectations (Aug),3.00%,2.90%,3.00%,2023-08-25 14:00:00
USD,2.0,Michigan 5-Year Inflation Expectations (Sep),2.70%,3.00%,3.00%,2023-09-15 14:00:00
USD,2.0,Michigan 5-Year Inflation Expectations (Sep),2.80%,2.70%,3.00%,2023-09-29 14:00:00
USD,2.0,Michigan 5-Year Inflation Expectations (Oct),3.00%,2.80%,2.80%,2023-10-13 14:00:00
USD,2.0,Michigan 5-Year Inflation Expectations (Oct),3.00%,3.00%,2.80%,2023-10-27 14:00:00
USD,2.0,Michigan 5-Year Inflation Expectations (Nov),3.20%,3.00%,3.00%,2023-11-10 15:00:00
USD,2.0,Michigan 5-Year Inflation Expectations (Nov),3.20%,3.20%,3.20%,2023-11-22 15:00:00
USD,2.0,Michigan 5-Year Inflation Expectations (Dec),2.80%,3.10%,3.20%,2023-12-08 15:00:00
USD,2.0,Michigan 5-Year Inflation Expectations (Dec),2.90%,2.80%,3.20%,2023-12-22 15:00:00
USD,2.0,Michigan 5-Year Inflation Expectations (Jan),2.90%,2.80%,2.90%,2024-02-02 15:00:00
USD,2.0,Michigan 5-Year Inflation Expectations (Feb),2.90%,2.80%,2.90%,2024-02-16 15:00:00
USD,2.0,Michigan 5-Year Inflation Expectations (Feb),2.90%,2.90%,2.90%,2024-03-01 15:00:00
USD,2.0,Michigan 5-Year Inflation Expectations (Mar),2.90%,2.90%,2.90%,2024-03-15 14:00:00
USD,2.0,Michigan 5-Year Inflation Expectations (Mar),2.80%,2.90%,2.90%,2024-03-28 14:00:00
USD,2.0,Michigan 5-Year Inflation Expectations (Apr),3.00%,2.80%,2.80%,2024-04-11 14:00:00
USD,2.0,Michigan 5-Year Inflation Expectations (Apr),3.00%,3.00%,2.80%,2024-04-26 14:00:00
USD,2.0,Michigan 5-Year Inflation Expectations (May),3.10%,3.00%,3.00%,2024-05-10 14:00:00
USD,2.0,Michigan 5-Year Inflation Expectations (May),,3.10%,3.00%,2024-05-24 14:00:00
