Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,2.0,Michigan Consumer Sentiment (Jan),64.6,60.5,59.7,2023-01-13 15:00:00
USD,2.0,Michigan Consumer Sentiment (Jan),64.9,64.6,59.7,2023-01-27 15:00:00
USD,2.0,Michigan Consumer Sentiment (Feb),66.4,65,64.9,2023-02-10 15:00:00
USD,2.0,Michigan Consumer Sentiment (Feb),67,66.4,64.9,2023-02-24 15:00:00
USD,2.0,Michigan Consumer Sentiment (Mar),63.4,66.9,67,2023-03-17 14:00:00
USD,1.0,Michigan Consumer Sentiment (Mar),62,63.2,63.4,2023-03-31 14:00:00
USD,2.0,Michigan Consumer Sentiment (Apr),63.5,62,62,2023-04-14 14:00:00
USD,2.0,Michigan Consumer Sentiment (Apr),63.5,63.5,63.5,2023-04-28 14:00:00
USD,2.0,Michigan Consumer Sentiment (May),57.7,63,63.5,2023-05-12 14:00:00
USD,2.0,Michigan Consumer Sentiment (May),59.2,57.9,63.5,2023-05-26 14:00:00
USD,2.0,Michigan Consumer Sentiment (Jun),63.9,60,59.2,2023-06-16 14:00:00
USD,2.0,Michigan Consumer Sentiment (Jun),64.4,63.9,59.2,2023-06-30 14:00:00
USD,2.0,Michigan Consumer Sentiment (Jul),72.6,65.5,64.4,2023-07-14 14:00:00
USD,2.0,Michigan Consumer Sentiment (Jul),71.6,72.6,64.4,2023-07-28 14:00:00
USD,2.0,Michigan Consumer Sentiment (Aug),71.2,71,71.6,2023-08-11 14:00:00
USD,2.0,Michigan Consumer Sentiment (Aug),69.5,71.2,71.6,2023-08-25 14:00:00
USD,2.0,Michigan Consumer Sentiment (Sep),67.7,69.1,69.5,2023-09-15 14:00:00
USD,2.0,Michigan Consumer Sentiment (Sep),68.1,67.7,69.5,2023-09-29 14:00:00
USD,2.0,Michigan Consumer Sentiment (Oct),63,67.2,68.1,2023-10-13 14:00:00
USD,2.0,Michigan Consumer Sentiment (Oct),63.8,63,68.1,2023-10-27 14:00:00
USD,2.0,Michigan Consumer Sentiment (Nov),60.4,63.7,63.8,2023-11-10 15:00:00
USD,2.0,Michigan Consumer Sentiment (Nov),61.3,60.4,63.8,2023-11-22 15:00:00
USD,2.0,Michigan Consumer Sentiment (Dec),69.4,62,61.3,2023-12-08 15:00:00
USD,2.0,Michigan Consumer Sentiment (Dec),69.7,69.4,61.3,2023-12-22 15:00:00
USD,2.0,Michigan Consumer Sentiment (Jan),79,78.8,69.7,2024-02-02 15:00:00
USD,2.0,Michigan Consumer Sentiment (Feb),79.6,80,79,2024-02-16 15:00:00
USD,2.0,Michigan Consumer Sentiment (Feb),76.9,79.6,79,2024-03-01 15:00:00
USD,2.0,Michigan Consumer Sentiment (Mar),76.5,77.1,76.9,2024-03-15 14:00:00
USD,2.0,Michigan Consumer Sentiment (Mar),79.4,76.5,76.9,2024-03-28 14:00:00
USD,2.0,Michigan Consumer Sentiment (Apr),77.9,79,79.4,2024-04-11 14:00:00
USD,2.0,Michigan Consumer Sentiment (Apr),77.2,77.8,79.4,2024-04-26 14:00:00
USD,2.0,Michigan Consumer Sentiment (May),67.4,76,77.2,2024-05-10 14:00:00
USD,2.0,Michigan Consumer Sentiment (May),,67.4,77.2,2024-05-24 14:00:00
