Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,,Mortgage Refinance Index,310.9,,371.4,2023-01-04 12:00:00
USD,1.0,Mortgage Refinance Index,326.7,,310.9,2023-01-11 12:00:00
USD,1.0,Mortgage Refinance Index,438.3,,326.7,2023-01-18 12:00:00
USD,1.0,Mortgage Refinance Index,502.3,,438.3,2023-01-25 12:00:00
USD,1.0,Mortgage Refinance Index,466.6,,502.3,2023-02-01 12:00:00
USD,1.0,Mortgage Refinance Index,549.3,,466.6,2023-02-08 12:00:00
USD,1.0,Mortgage Refinance Index,480.5,,549.3,2023-02-15 12:00:00
USD,1.0,Mortgage Refinance Index,469.9,,480.5,2023-02-22 12:00:00
USD,1.0,Mortgage Refinance Index,444,,469.9,2023-03-01 12:00:00
USD,1.0,Mortgage Refinance Index,437.9,,444,2023-03-08 12:00:00
USD,1.0,Mortgage Refinance Index,458.9,,437.9,2023-03-15 11:00:00
USD,1.0,Mortgage Refinance Index,481.3,,458.9,2023-03-22 11:00:00
USD,1.0,Mortgage Refinance Index,504.4,,481.3,2023-03-29 11:00:00
USD,1.0,Mortgage Refinance Index,477.2,,504.4,2023-04-05 11:00:00
USD,1.0,Mortgage Refinance Index,477.5,,477.2,2023-04-12 11:00:00
USD,1.0,Mortgage Refinance Index,449.8,,477.5,2023-04-19 11:00:00
USD,1.0,Mortgage Refinance Index,457.6,,449.8,2023-04-26 11:00:00
USD,1.0,Mortgage Refinance Index,461.2,,457.6,2023-05-03 11:00:00
USD,1.0,Mortgage Refinance Index,507.1,,461.2,2023-05-10 11:00:00
USD,1.0,Mortgage Refinance Index,468.2,,507.1,2023-05-17 11:00:00
USD,1.0,Mortgage Refinance Index,443,,468.2,2023-05-24 11:00:00
USD,1.0,Mortgage Refinance Index,412.5,,443,2023-05-31 11:00:00
USD,1.0,Mortgage Refinance Index,409.7,,412.5,2023-06-07 11:00:00
USD,1.0,Mortgage Refinance Index,434.1,,409.7,2023-06-14 11:00:00
USD,1.0,Mortgage Refinance Index,425.1,,434.1,2023-06-21 11:00:00
USD,1.0,Mortgage Refinance Index,439.2,,425.1,2023-06-28 11:00:00
USD,1.0,Mortgage Refinance Index,421.3,,439.2,2023-07-06 11:00:00
