Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,2.0,NY Empire State Manufacturing Index (Jan),-32.9,-8.7,-11.2,2023-01-17 13:30:00
USD,2.0,NY Empire State Manufacturing Index (Feb),-5.8,-18,-32.9,2023-02-15 13:30:00
USD,2.0,NY Empire State Manufacturing Index (Mar),-24.6,-8,-5.8,2023-03-15 12:30:00
USD,2.0,NY Empire State Manufacturing Index (Apr),10.8,-18,-24.6,2023-04-17 12:30:00
USD,2.0,NY Empire State Manufacturing Index (May),-31.8,-3.7,10.8,2023-05-15 12:30:00
USD,2.0,NY Empire State Manufacturing Index (Jun),6.6,-16,-31.8,2023-06-15 12:30:00
USD,2.0,NY Empire State Manufacturing Index (Jul),1.1,-4.3,6.6,2023-07-17 12:30:00
USD,2.0,NY Empire State Manufacturing Index (Aug),-19,-1,1.1,2023-08-15 12:30:00
USD,2.0,NY Empire State Manufacturing Index (Sep),1.9,-10,-19,2023-09-15 12:30:00
USD,2.0,NY Empire State Manufacturing Index (Oct),-4.6,-7,1.9,2023-10-16 12:30:00
USD,2.0,NY Empire State Manufacturing Index (Nov),9.1,-2.8,-4.6,2023-11-15 13:30:00
USD,2.0,NY Empire State Manufacturing Index (Dec),-14.5,2,9.1,2023-12-15 13:30:00
USD,2.0,NY Empire State Manufacturing Index (Jan),-43.7,-5,-14.5,2024-01-16 13:30:00
USD,2.0,NY Empire State Manufacturing Index (Feb),-2.4,-13.7,-43.7,2024-02-15 13:30:00
USD,2.0,NY Empire State Manufacturing Index (Mar),-20.9,-7,-2.4,2024-03-15 12:30:00
USD,2.0,NY Empire State Manufacturing Index (Apr),-14.3,-5.2,-20.9,2024-04-15 12:30:00
USD,2.0,NY Empire State Manufacturing Index (May),-15.6,-9.9,-14.3,2024-05-15 12:30:00
