Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,3.0,Nonfarm Payrolls (Dec),223K,200K,256K,2023-01-06 13:30:00
USD,3.0,Nonfarm Payrolls (Jan),517K,185K,260K,2023-02-03 13:30:00
USD,3.0,Nonfarm Payrolls (Feb),311K,205K,504K,2023-03-10 13:30:00
USD,3.0,Nonfarm Payrolls (Mar),236K,239K,326K,2023-04-07 12:30:00
USD,3.0,Nonfarm Payrolls (Apr),253K,180K,165K,2023-05-04 12:30:00
USD,3.0,Nonfarm Payrolls (May),339K,180K,294K,2023-06-02 12:30:00
USD,3.0,Nonfarm Payrolls (Jun),209K,225K,306K,2023-07-07 12:30:00
USD,3.0,Nonfarm Payrolls (Jul),187K,200K,185K,2023-08-04 12:30:00
USD,3.0,Nonfarm Payrolls (Aug),187K,170K,157K,2023-09-01 12:30:00
USD,3.0,Nonfarm Payrolls (Sep),336K,170K,227K,2023-10-06 12:30:00
USD,3.0,Nonfarm Payrolls (Oct),150K,180K,297K,2023-11-03 12:30:00
USD,3.0,Nonfarm Payrolls (Nov),199K,180K,150K,2023-12-08 13:30:00
USD,3.0,Nonfarm Payrolls (Dec),216K,170K,173K,2024-01-05 13:30:00
USD,3.0,Nonfarm Payrolls (Jan),353K,187K,333K,2024-02-02 13:30:00
USD,3.0,Nonfarm Payrolls (Feb),275K,198K,229K,2024-03-08 13:30:00
USD,3.0,Nonfarm Payrolls (Mar),303K,212K,270K,2024-04-05 12:30:00
USD,3.0,Nonfarm Payrolls (Apr),175K,238K,315K,2024-05-03 12:30:00
USD,3.0,Nonfarm Payrolls (May),,,175K,2024-06-07 12:30:00
