Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,2.0,Nonfarm Productivity (QoQ) (Q4),3.00%,2.40%,1.40%,2023-02-02 13:30:00
USD,2.0,Nonfarm Productivity (QoQ) (Q4),1.70%,2.60%,1.40%,2023-03-02 13:30:00
USD,2.0,Nonfarm Productivity (QoQ) (Q1),-2.70%,-1.80%,1.60%,2023-05-04 12:30:00
USD,2.0,Nonfarm Productivity (QoQ) (Q1),-2.10%,-2.70%,1.70%,2023-06-01 12:30:00
USD,2.0,Nonfarm Productivity (QoQ) (Q2),3.70%,2.00%,-1.20%,2023-08-03 12:30:00
USD,2.0,Nonfarm Productivity (QoQ) (Q2),3.50%,3.70%,-2.10%,2023-09-07 12:30:00
USD,2.0,Nonfarm Productivity (QoQ) (Q3),4.70%,4.10%,3.60%,2023-11-02 12:30:00
USD,2.0,Nonfarm Productivity (QoQ) (Q3),5.20%,4.90%,3.50%,2023-12-06 13:30:00
USD,2.0,Nonfarm Productivity (QoQ) (Q4),3.20%,2.40%,4.90%,2024-02-01 13:30:00
USD,2.0,Nonfarm Productivity (QoQ) (Q4),3.20%,3.10%,4.70%,2024-03-07 13:30:00
USD,2.0,Nonfarm Productivity (QoQ) (Q1),0.30%,0.80%,3.50%,2024-05-02 12:30:00
USD,2.0,Nonfarm Productivity (QoQ) (Q1),,,0.30%,2024-06-06 12:30:00
