Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,1.0,OPEC Crude Oil Production Algeria (Barrel),1.02M,,1.03M,2023-01-31 15:00:00
USD,1.0,OPEC Crude Oil Production Algeria (Barrel),1.02M,,1.01M,2023-02-28 14:30:00
USD,1.0,OPEC Crude Oil Production Algeria (Barrel),1.01M,,1.02M,2023-03-31 11:45:00
USD,1.0,OPEC Crude Oil Production Algeria (Barrel),1.01M,,1.01M,2023-05-02 11:15:00
USD,1.0,OPEC Crude Oil Production Algeria (Barrel),0.96M,,1.00M,2023-05-31 14:15:00
USD,1.0,OPEC Crude Oil Production Algeria (Barrel),0.97M,,0.96M,2023-06-30 12:00:00
USD,1.0,OPEC Crude Oil Production Algeria (Barrel),0.96M,,0.97M,2023-07-31 14:44:00
USD,1.0,OPEC Crude Oil Production Algeria (Barrel),0.96M,,0.96M,2023-08-31 21:21:00
USD,1.0,OPEC Crude Oil Production Algeria (Barrel),0.93M,,0.96M,2023-09-29 15:00:00
USD,1.0,OPEC Crude Oil Production Algeria (Barrel),0.96M,,0.93M,2023-10-31 13:30:00
USD,1.0,OPEC Crude Oil Production Algeria (Barrel),0.97M,,0.96M,2023-11-30 13:15:00
USD,1.0,OPEC Crude Oil Production Algeria (Barrel),0.96M,,0.97M,2023-12-28 15:00:00
USD,1.0,OPEC Crude Oil Production Algeria (Barrel),0.96M,,0.96M,2024-01-31 15:45:00
USD,1.0,OPEC Crude Oil Production Algeria (Barrel),0.91M,,0.96M,2024-02-29 15:45:00
USD,1.0,OPEC Crude Oil Production Algeria (Barrel),0.90M,,0.91M,2024-03-29 14:00:00
USD,1.0,OPEC Crude Oil Production Algeria (Barrel),0.90M,,0.90M,2024-04-30 16:00:00
